Data Source,Region,Basin,Catchment,Site Code,Site Name,Latitude,Longitude,Datum,Sample Reference,Sampling Year,Date Time,Collection Method,Sampling Depth (m),Laboratory,Analysis Method,Analyte Group,Analyte,Operator,Value,Unit,Quality Code,Comment,Project Name,Project Description
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Segmented flow analysis of 0.45 micrometres filtered water samples","Total Suspended Solids & Nutrients","Ammonium nitrogen as N","<","0.002","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Catalysed acidic block digestion with colorimetric segmented flow analyser finish","Total Suspended Solids & Nutrients","Dissolved Kjeldahl nitrogen as N","","0.15","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Catalysed acidic block digestion with colorimetric segmented flow analyser finish","Total Suspended Solids & Nutrients","Dissolved Kjeldahl phosphorus as P","<","0.02","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Calculated result","Total Suspended Solids & Nutrients","Dissolved organic nitrogen as N","","0.15","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Calculated result","Total Suspended Solids & Nutrients","Dissolved organic phosphorus as P","<","0.02","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Field","Field measurement","Field Properties","Field Turbidity","","5","NTU","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Segmented flow analysis of 0.45 micrometres filtered water samples","Total Suspended Solids & Nutrients","Filterable Reactive phosphorus as P","","0.016","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Segmented flow analysis of 0.45 micrometres filtered water samples","Total Suspended Solids & Nutrients","Oxidised nitrogen as N","","0.003","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Calculated result","Total Suspended Solids & Nutrients","Particulate nitrogen as N","","0.03","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Calculated result","Total Suspended Solids & Nutrients","Particulate phosphorus as P","","0.04","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Calculated result","Total Suspended Solids & Nutrients","Total dissolved nitrogen as N","","0.15","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Catalysed acidic block digestion with colorimetric segmented flow analyser finish","Total Suspended Solids & Nutrients","Total Kjeldahl nitrogen as N","","0.18","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Catalysed acidic block digestion with colorimetric segmented flow analyser finish","Total Suspended Solids & Nutrients","Total Kjeldahl phosphorus as P","","0.05","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Calculated result","Total Suspended Solids & Nutrients","Total nitrogen as N","","0.18","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302910","2011-2012","05/08/2011 12:20","Manual","0.1","Chemistry Centre","Gravimetric filtration followed by combustion","Total Suspended Solids & Nutrients","Total suspended solids","NA","","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302927","2011-2012","01/12/2011 13:21","Manual","0.1","Chemistry Centre","Segmented flow analysis of 0.45 micrometres filtered water samples","Total Suspended Solids & Nutrients","Ammonium nitrogen as N","","0.006","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302927","2011-2012","01/12/2011 13:21","Manual","0.1","Chemistry Centre","Catalysed acidic block digestion with colorimetric segmented flow analyser finish","Total Suspended Solids & Nutrients","Dissolved Kjeldahl nitrogen as N","","0.26","Milligrams/Litre","10","","",""
"WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim","-20.006256","146.439055","GDA2020","302927","2011-2012","01/12/2011 13:21","Manual","0.1","Chemistry Centre","Catalysed acidic block digestion with colorimetric segmented flow analyser finish","Total Suspended Solids & Nutrients","Dissolved Kjeldahl phosphorus as P","","0.02","Milligrams/Litre","10","","",""
