"Time","120002D","",""
"and","140.00","",""
"Date","Discharge (Cumecs)","",""
"Date and time","Point","Quality","Comments"
15:59:00 16/05/2024,"",    151,Sites:
16:00:00 16/05/2024,      27.540,    130,120002D - Burdekin River at Sellheim Lat:-20.01163333 Long:146.43471111 Elev:233.4m
17:00:00 16/05/2024,      27.822,    130, 
18:00:00 16/05/2024,      28.012,    130,Variables:
19:00:00 16/05/2024,      28.203,    130,140 - Stream Discharge (Cumecs)
20:00:00 16/05/2024,      28.203,    130, 
21:00:00 16/05/2024,      28.395,    130,Qualities:
22:00:00 16/05/2024,      28.492,    130,130 - Not coded value
23:00:00 16/05/2024,      28.299,    130,151 - Data not yet available
00:00:00 17/05/2024,      28.203,    130,255 - No data exists
01:00:00 17/05/2024,      28.299,    130, 
02:00:00 17/05/2024,      28.685,    130, 
03:00:00 17/05/2024,      28.492,    130, 
04:00:00 17/05/2024,      28.492,    130, 
05:00:00 17/05/2024,      28.588,    130, 
06:00:00 17/05/2024,      28.492,    130, 
07:00:00 17/05/2024,      28.492,    130, 
08:00:00 17/05/2024,      28.203,    130, 
09:00:00 17/05/2024,      28.299,    130, 
10:00:00 17/05/2024,      28.203,    130, 
11:00:00 17/05/2024,      28.108,    130, 
12:00:00 17/05/2024,      27.917,    130, 
13:00:00 17/05/2024,      27.917,    130, 
14:00:00 17/05/2024,      27.728,    130, 
15:00:00 17/05/2024,      27.728,    130, 
16:00:00 17/05/2024,      27.540,    130, 
17:00:00 17/05/2024,      27.352,    130, 
18:00:00 17/05/2024,      27.728,    130, 
19:00:00 17/05/2024,      27.540,    130, 
20:00:00 17/05/2024,      27.352,    130, 
21:00:00 17/05/2024,      27.446,    130, 
22:00:00 17/05/2024,      27.446,    130, 
23:00:00 17/05/2024,      27.259,    130, 
00:00:00 18/05/2024,      27.352,    130, 
01:00:00 18/05/2024,      27.259,    130, 
02:00:00 18/05/2024,      27.446,    130, 
03:00:00 18/05/2024,      27.166,    130, 
04:00:00 18/05/2024,      27.259,    130, 
05:00:00 18/05/2024,      27.166,    130, 
06:00:00 18/05/2024,      26.981,    130, 
07:00:00 18/05/2024,      26.889,    130, 
08:00:00 18/05/2024,      26.705,    130, 
09:00:00 18/05/2024,      26.613,    130, 
10:00:00 18/05/2024,      26.797,    130, 
11:00:00 18/05/2024,      26.705,    130, 
12:00:00 18/05/2024,      26.613,    130, 
13:00:00 18/05/2024,      26.522,    130, 
14:00:00 18/05/2024,      26.341,    130, 
15:00:00 18/05/2024,      26.431,    130, 
16:00:00 18/05/2024,      26.250,    130, 
17:00:00 18/05/2024,      26.070,    130, 
18:00:00 18/05/2024,      25.980,    130, 
19:00:00 18/05/2024,      25.802,    130, 
20:00:00 18/05/2024,      25.802,    130, 
21:00:00 18/05/2024,      25.891,    130, 
22:00:00 18/05/2024,      25.802,    130, 
23:00:00 18/05/2024,      25.980,    130, 
00:00:00 19/05/2024,      25.980,    130, 
01:00:00 19/05/2024,      25.713,    130, 
02:00:00 19/05/2024,      25.802,    130, 
03:00:00 19/05/2024,      25.802,    130, 
04:00:00 19/05/2024,      25.535,    130, 
05:00:00 19/05/2024,      25.447,    130, 
06:00:00 19/05/2024,      25.447,    130, 
07:00:00 19/05/2024,      25.184,    130, 
08:00:00 19/05/2024,      25.271,    130, 
09:00:00 19/05/2024,      25.097,    130, 
10:00:00 19/05/2024,      25.184,    130, 
11:00:00 19/05/2024,      25.184,    130, 
12:00:00 19/05/2024,      25.097,    130, 
13:00:00 19/05/2024,      25.097,    130, 
14:00:00 19/05/2024,      24.923,    130, 
15:00:00 19/05/2024,      24.750,    130, 
16:00:00 19/05/2024,      24.578,    130, 
17:00:00 19/05/2024,      24.493,    130, 
18:00:00 19/05/2024,      24.493,    130, 
19:00:00 19/05/2024,      24.408,    130, 
20:00:00 19/05/2024,      24.323,    130, 
21:00:00 19/05/2024,      24.408,    130, 
22:00:00 19/05/2024,      24.238,    130, 
23:00:00 19/05/2024,      24.323,    130, 
00:00:00 20/05/2024,      24.408,    130, 
01:00:00 20/05/2024,      24.238,    130, 
02:00:00 20/05/2024,      24.238,    130, 
03:00:00 20/05/2024,      24.153,    130, 
04:00:00 20/05/2024,      24.069,    130, 
05:00:00 20/05/2024,      23.985,    130, 
06:00:00 20/05/2024,      23.901,    130, 
07:00:00 20/05/2024,      23.734,    130, 
08:00:00 20/05/2024,      23.734,    130, 
09:00:00 20/05/2024,      23.568,    130, 
10:00:00 20/05/2024,      23.817,    130, 
11:00:00 20/05/2024,      23.651,    130, 
12:00:00 20/05/2024,      23.403,    130, 
13:00:00 20/05/2024,      23.321,    130, 
14:00:00 20/05/2024,      23.321,    130, 
15:00:00 20/05/2024,      23.239,    130, 
16:00:00 20/05/2024,      23.239,    130, 
17:00:00 20/05/2024,      23.157,    130, 
18:00:00 20/05/2024,      23.075,    130, 
19:00:00 20/05/2024,      22.832,    130, 
20:00:00 20/05/2024,      22.913,    130, 
21:00:00 20/05/2024,      22.832,    130, 
22:00:00 20/05/2024,      22.913,    130, 
23:00:00 20/05/2024,      22.994,    130, 
00:00:00 21/05/2024,      22.832,    130, 
01:00:00 21/05/2024,      22.832,    130, 
02:00:00 21/05/2024,      22.752,    130, 
03:00:00 21/05/2024,      22.671,    130, 
04:00:00 21/05/2024,      22.671,    130, 
05:00:00 21/05/2024,      22.591,    130, 
06:00:00 21/05/2024,      22.591,    130, 
07:00:00 21/05/2024,      22.511,    130, 
08:00:00 21/05/2024,      22.432,    130, 
09:00:00 21/05/2024,      22.194,    130, 
10:00:00 21/05/2024,      22.352,    130, 
11:00:00 21/05/2024,      22.511,    130, 
12:00:00 21/05/2024,      22.273,    130, 
13:00:00 21/05/2024,      22.352,    130, 
14:00:00 21/05/2024,      22.352,    130, 
15:00:00 21/05/2024,      22.432,    130, 
16:00:00 21/05/2024,      22.037,    130, 
17:00:00 21/05/2024,      22.037,    130, 
18:00:00 21/05/2024,      22.115,    130, 
19:00:00 21/05/2024,      22.194,    130, 
20:00:00 21/05/2024,      22.273,    130, 
21:00:00 21/05/2024,      22.273,    130, 
22:00:00 21/05/2024,      22.352,    130, 
23:00:00 21/05/2024,      22.511,    130, 
00:00:00 22/05/2024,      22.432,    130, 
01:00:00 22/05/2024,      22.752,    130, 
02:00:00 22/05/2024,      22.671,    130, 
03:00:00 22/05/2024,      22.752,    130, 
04:00:00 22/05/2024,      23.075,    130, 
05:00:00 22/05/2024,      23.075,    130, 
06:00:00 22/05/2024,      23.239,    130, 
07:00:00 22/05/2024,      23.239,    130, 
08:00:00 22/05/2024,      23.403,    130, 
09:00:00 22/05/2024,      23.734,    130, 
10:00:00 22/05/2024,      23.817,    130, 
11:00:00 22/05/2024,      24.153,    130, 
12:00:00 22/05/2024,      24.238,    130, 
13:00:00 22/05/2024,      24.323,    130, 
14:00:00 22/05/2024,      24.578,    130, 
15:00:00 22/05/2024,      24.664,    130, 
16:00:00 22/05/2024,      24.750,    130, 
17:00:00 22/05/2024,      24.923,    130, 
18:00:00 22/05/2024,      25.097,    130, 
19:00:00 22/05/2024,      25.271,    130, 
20:00:00 22/05/2024,      25.359,    130, 
21:00:00 22/05/2024,      25.713,    130, 
22:00:00 22/05/2024,      25.624,    130, 
23:00:00 22/05/2024,      26.070,    130, 
00:00:00 23/05/2024,      26.070,    130, 
01:00:00 23/05/2024,      26.160,    130, 
02:00:00 23/05/2024,      26.341,    130, 
03:00:00 23/05/2024,      26.070,    130, 
04:00:00 23/05/2024,      26.250,    130, 
05:00:00 23/05/2024,      26.431,    130, 
06:00:00 23/05/2024,      26.341,    130, 
07:00:00 23/05/2024,      26.341,    130, 
08:00:00 23/05/2024,      26.160,    130, 
09:00:00 23/05/2024,      26.160,    130, 
10:00:00 23/05/2024,      26.341,    130, 
11:00:00 23/05/2024,      26.341,    130, 
12:00:00 23/05/2024,      26.250,    130, 
13:00:00 23/05/2024,      26.070,    130, 
14:00:00 23/05/2024,      25.802,    130, 
15:00:00 23/05/2024,      25.891,    130, 
16:00:00 23/05/2024,      25.891,    130, 
17:00:00 23/05/2024,      25.713,    130, 
18:00:00 23/05/2024,      25.624,    130, 
19:00:00 23/05/2024,      25.891,    130, 
20:00:00 23/05/2024,      25.891,    130, 
21:00:00 23/05/2024,      25.802,    130, 
22:00:00 23/05/2024,      25.891,    130, 
23:00:00 23/05/2024,      25.891,    130, 
00:00:00 24/05/2024,      25.802,    130, 
01:00:00 24/05/2024,      25.713,    130, 
02:00:00 24/05/2024,      25.713,    130, 
03:00:00 24/05/2024,      25.624,    130, 
04:00:00 24/05/2024,      25.184,    130, 
05:00:00 24/05/2024,      25.359,    130, 
06:00:00 24/05/2024,      25.271,    130, 
07:00:00 24/05/2024,      25.010,    130, 
08:00:00 24/05/2024,      25.010,    130, 
09:00:00 24/05/2024,      24.837,    130, 
10:00:00 24/05/2024,      24.923,    130, 
11:00:00 24/05/2024,      24.923,    130, 
12:00:00 24/05/2024,      24.837,    130, 
13:00:00 24/05/2024,      24.493,    130, 
14:00:00 24/05/2024,      24.408,    130, 
15:00:00 24/05/2024,      24.408,    130, 
16:00:00 24/05/2024,      24.578,    130, 
17:00:00 24/05/2024,      24.153,    130, 
18:00:00 24/05/2024,      24.238,    130, 
19:00:00 24/05/2024,      24.069,    130, 
20:00:00 24/05/2024,      24.153,    130, 
21:00:00 24/05/2024,      24.153,    130, 
22:00:00 24/05/2024,      24.238,    130, 
23:00:00 24/05/2024,      24.153,    130, 
00:00:00 25/05/2024,      24.069,    130, 
01:00:00 25/05/2024,      24.069,    130, 
02:00:00 25/05/2024,      23.817,    130, 
03:00:00 25/05/2024,      23.734,    130, 
04:00:00 25/05/2024,      23.817,    130, 
05:00:00 25/05/2024,      23.568,    130, 
06:00:00 25/05/2024,      23.485,    130, 
07:00:00 25/05/2024,      23.157,    130, 
08:00:00 25/05/2024,      23.403,    130, 
09:00:00 25/05/2024,      23.239,    130, 
10:00:00 25/05/2024,      23.239,    130, 
11:00:00 25/05/2024,      23.075,    130, 
12:00:00 25/05/2024,      22.913,    130, 
13:00:00 25/05/2024,      22.752,    130, 
14:00:00 25/05/2024,      22.832,    130, 
15:00:00 25/05/2024,      22.832,    130, 
16:00:00 25/05/2024,      22.591,    130, 
17:00:00 25/05/2024,      22.752,    130, 
18:00:00 25/05/2024,      22.591,    130, 
19:00:00 25/05/2024,      22.352,    130, 
20:00:00 25/05/2024,      22.273,    130, 
21:00:00 25/05/2024,      22.352,    130, 
22:00:00 25/05/2024,      22.115,    130, 
23:00:00 25/05/2024,      22.037,    130, 
00:00:00 26/05/2024,      22.037,    130, 
01:00:00 26/05/2024,      21.958,    130, 
02:00:00 26/05/2024,      21.958,    130, 
03:00:00 26/05/2024,      21.880,    130, 
04:00:00 26/05/2024,      21.802,    130, 
05:00:00 26/05/2024,      21.570,    130, 
06:00:00 26/05/2024,      21.570,    130, 
07:00:00 26/05/2024,      21.416,    130, 
