Region,Region_2,Region_3,Zone,Site_ID,Site,Secondary Name,Grade,Event,Lat,Long,fyear
DT,,,Cleveland Bay,7,Rowes Bay,,,2320,-19.23644287,146.7870855,2012
DT,,,Cleveland Bay,7,Rowes Bay,,,2414,-19.2334039,146.7850256,2012
DT,,,Cleveland Bay,7,Rowes Bay,,,2431,-19.23707092,146.7876005,2012
DT,,,Cleveland Bay,7,Rowes Bay,,,4902,-19.23433586,146.7855835,2015
DT,,,Cleveland Bay,7,Rowes Bay,,,11463,-19.24227754,146.7932439,2018
DT,,,Cleveland Bay,7,Rowes Bay,,,11464,-19.21661479,146.7780083,2018
DT,,,Cleveland Bay,7,Rowes Bay,,,15023,-19.24312841,146.7950678,2019
DT,,,Cleveland Bay,7,Rowes Bay,,,14870,-19.21568367,146.7773918,2019
DT,,,Cleveland Bay,7,Rowes Bay,,,14900,-19.21816261,146.7781377,2019
DT,,DT,Halifax Bay,985,Balgal Beach,,,3765,-19.02779881,146.419065,2013
DT,,DT,Halifax Bay,985,Balgal Beach,,,6293,-19.02714968,146.418786,2016
DT,,DT,Halifax Bay,985,Balgal Beach,,,14932,-19.02523271,146.4172733,2019
DT,,DT,Halifax Bay,985,Balgal Beach,,,8331,-19.02666283,146.4184427,2017
DT,,DT,Halifax Bay,3014,Balgal Beach North Section,,,10504,-19.01441002,146.4083576,2018
DT,,DT,Halifax Bay,3014,Balgal Beach North Section,,,14931,-19.00916578,146.4056486,2019
DT,WT,DT,Halifax Bay,3152,"Big Rock Bay, Orpheus Island",,,11200,-18.60818055,146.4996815,2018
DT,WT,DT,Halifax Bay,3152,"Big Rock Bay, Orpheus Island",,,13467,-18.60720442,146.500411,2018
DT,,,Cleveland Bay,1275,"Radical Bay, Magnetic Island",,,4994,-19.1129,146.875,2015
DT,,,Cleveland Bay,1553,"Nelly Bay Beach, Magnetic Island",,,5951,-19.16707883,146.8480313,2015
DT,,,Cleveland Bay,1553,"Nelly Bay Beach, Magnetic Island",,,7652,-19.1669174,146.8480897,2016
DT,,,Cleveland Bay,1553,"Nelly Bay Beach, Magnetic Island",,,10562,-19.16787,146.8478107,2018
DT,,,Cleveland Bay,1553,"Nelly Bay Beach, Magnetic Island",,,13440,-19.163551,146.8490982,2018
DT,,,Cleveland Bay,1553,"Nelly Bay Beach, Magnetic Island",,,14933,-19.16093817,146.8502998,2019
DT,,,Cleveland Bay,1553,"Nelly Bay Beach, Magnetic Island",,,18417,-19.16661337,146.8481863,2019
DT,,,Cleveland Bay,1553,"Nelly Bay Beach, Magnetic Island",,,20999,-19.17059603,146.8471026,2019
DT,WT,DT,Halifax Bay,3152,"Big Rock Bay, Orpheus Island",,,18695,-18.60793652,146.5000784,2019
DT,,DT,Halifax Bay,3359,"Boulder Beach, Orpheus Island",,,18696,-18.65421994,146.5035063,2019
DT,,DT,Halifax Bay,3346,"Cattle Bay, Orpheus Island",,,18683,-18.57016338,146.4831805,2019
DT,,DT,Halifax Bay,1359,"Crystal Beach, Mutarnee",,,8729,-18.92840822,146.3220224,2017
DT,,,Cleveland Bay,2742,"Horseshoe Bay, Magnetic Island",,,7650,-19.1177,146.859,2016
DT,,,Cleveland Bay,2742,"Horseshoe Bay, Magnetic Island",,,13425,-19.11867205,146.8528748,2018
DT,,,Cleveland Bay,2742,"Horseshoe Bay, Magnetic Island",,,14665,-19.11654326,146.8628311,2019
DT,,,Cleveland Bay,2742,"Horseshoe Bay, Magnetic Island",,,14834,-19.11437389,146.8646336,2019
DT,,,Cleveland Bay,2742,"Horseshoe Bay, Magnetic Island",,,17921,-19.11690313,146.861946,2019
DT,,,Cleveland Bay,2743,"Alma Bay, Magnetic Island",,,7651,-19.1483,146.869,2016
DT,,,Cleveland Bay,2743,"Alma Bay, Magnetic Island",,,13439,-19.14834562,146.8688875,2018
DT,,,Cleveland Bay,2743,"Alma Bay, Magnetic Island",,,14827,-19.14824934,146.8689197,2019
DT,,,Cleveland Bay,2743,"Alma Bay, Magnetic Island",,,18419,-19.14839123,146.8688822,2019
DT,,,Cleveland Bay,2743,"Alma Bay, Magnetic Island",,,20995,-19.14800102,146.8690485,2019
DT,,DT,Halifax Bay,1359,"Crystal Beach, Mutarnee",,,15683,-18.9065707,146.3040304,2019
DT,WT,DT,Halifax Bay,1253,"Fig Tree Beach, Orpheus Island",,,11198,-18.61106823,146.4996815,2018
DT,WT,DT,Halifax Bay,1253,"Fig Tree Beach, Orpheus Island",,,13466,-18.61287808,146.5001214,2018
DT,WT,DT,Halifax Bay,1253,"Fig Tree Beach, Orpheus Island",,,17852,-18.61215618,146.4998102,2019
DT,WT,DT,Halifax Bay,1253,"Fig Tree Beach, Orpheus Island",,,4895,-18.61151052,146.4996332,2015
DT,WT,DT,Halifax Bay,1253,"Fig Tree Beach, Orpheus Island",,,6187,-18.61169863,146.4995956,2016
DT,WT,DT,Halifax Bay,1253,"Fig Tree Beach, Orpheus Island",,,7273,-18.61190198,146.4996171,2016
DT,WT,DT,Halifax Bay,1253,"Fig Tree Beach, Orpheus Island",,,4895,-18.61151052,146.4996332,2015
DT,WT,DT,Halifax Bay,1253,"Fig Tree Beach, Orpheus Island",,,6187,-18.61169863,146.4995956,2016
