basin,region,fyear,rainfall,cumulative_mean,units
Plane,Mackay Whitsunday Isaac,1912,734.766,734.766,mm
Plane,Mackay Whitsunday Isaac,1913,1943.144,1338.955,mm
Plane,Mackay Whitsunday Isaac,1914,1644.351,1440.754,mm
Plane,Mackay Whitsunday Isaac,1915,647.667,1242.482,mm
Plane,Mackay Whitsunday Isaac,1916,899.11,1173.808,mm
Plane,Mackay Whitsunday Isaac,1917,1991.566,1310.101,mm
Plane,Mackay Whitsunday Isaac,1918,3245.74,1586.621,mm
Plane,Mackay Whitsunday Isaac,1919,1152.032,1532.297,mm
Plane,Mackay Whitsunday Isaac,1920,1037.092,1477.274,mm
Plane,Mackay Whitsunday Isaac,1921,1623.147,1491.862,mm
Plane,Mackay Whitsunday Isaac,1922,1266.991,1471.419,mm
Plane,Mackay Whitsunday Isaac,1923,930.718,1426.36,mm
Plane,Mackay Whitsunday Isaac,1924,1144.244,1404.659,mm
Plane,Mackay Whitsunday Isaac,1925,1173.125,1388.121,mm
Plane,Mackay Whitsunday Isaac,1926,848.308,1352.133,mm
Plane,Mackay Whitsunday Isaac,1927,1153.185,1339.699,mm
Plane,Mackay Whitsunday Isaac,1928,2341.735,1398.642,mm
Plane,Mackay Whitsunday Isaac,1929,1905.242,1426.787,mm
Plane,Mackay Whitsunday Isaac,1930,1487.331,1429.973,mm
Plane,Mackay Whitsunday Isaac,1931,689.717,1392.961,mm
Plane,Mackay Whitsunday Isaac,1932,1291.398,1388.124,mm
Plane,Mackay Whitsunday Isaac,1933,1060.076,1373.213,mm
Plane,Mackay Whitsunday Isaac,1934,1710.697,1387.886,mm
Plane,Mackay Whitsunday Isaac,1935,852.224,1365.567,mm
Plane,Mackay Whitsunday Isaac,1936,2126.893,1396.02,mm
Plane,Mackay Whitsunday Isaac,1937,1304.935,1392.517,mm
Plane,Mackay Whitsunday Isaac,1938,1220.789,1386.156,mm
Plane,Mackay Whitsunday Isaac,1939,1228.866,1380.539,mm
Plane,Mackay Whitsunday Isaac,1940,2008.792,1402.203,mm
Plane,Mackay Whitsunday Isaac,1941,1674.303,1411.273,mm
Plane,Mackay Whitsunday Isaac,1942,1520.842,1414.807,mm
Plane,Mackay Whitsunday Isaac,1943,1955.944,1431.718,mm
Plane,Mackay Whitsunday Isaac,1944,1494.407,1433.617,mm
Plane,Mackay Whitsunday Isaac,1945,764.674,1413.943,mm
Plane,Mackay Whitsunday Isaac,1946,1543.476,1417.644,mm
Plane,Mackay Whitsunday Isaac,1947,1236.259,1412.605,mm
Plane,Mackay Whitsunday Isaac,1948,906.659,1398.931,mm
Plane,Mackay Whitsunday Isaac,1949,1058.302,1389.967,mm
Plane,Mackay Whitsunday Isaac,1950,2138.956,1409.172,mm
Plane,Mackay Whitsunday Isaac,1951,2424.725,1434.561,mm
Plane,Mackay Whitsunday Isaac,1952,896.475,1421.437,mm
Plane,Mackay Whitsunday Isaac,1953,1220.473,1416.652,mm
Plane,Mackay Whitsunday Isaac,1954,2043.835,1431.237,mm
Plane,Mackay Whitsunday Isaac,1955,2537.721,1456.385,mm
Plane,Mackay Whitsunday Isaac,1956,2260.423,1474.252,mm
Plane,Mackay Whitsunday Isaac,1957,1260.914,1469.615,mm
Plane,Mackay Whitsunday Isaac,1958,2553.632,1492.679,mm
Plane,Mackay Whitsunday Isaac,1959,1431.328,1491.401,mm
Plane,Mackay Whitsunday Isaac,1960,1740.743,1496.489,mm
Plane,Mackay Whitsunday Isaac,1961,986.76,1486.295,mm
Plane,Mackay Whitsunday Isaac,1962,1170.438,1480.101,mm
Plane,Mackay Whitsunday Isaac,1963,1971.665,1489.555,mm
Plane,Mackay Whitsunday Isaac,1964,935.078,1479.093,mm
Plane,Mackay Whitsunday Isaac,1965,891.172,1468.205,mm
Plane,Mackay Whitsunday Isaac,1966,973.261,1459.206,mm
