Basin,VernacularName,Type,SpeciesKey
Ross,Barred grunter,Indigenous,1
Ross,Blue gourami,Alien,2
Ross,Bony bream,Indigenous,3
Ross,Freshwater longtom,Indigenous,4
Ross,Midas cichlid,Alien,5
Ross,Mouth almighty,Indigenous,6
Ross,Northern carp gudgeon (undescribed),Indigenous,7
Ross,Rendahl's tandan,Indigenous,8
Ross,Seven-spot archerfish,Indigenous,9
Ross,Sleepy cod,Translocated,10
Ross,Speckled goby,Indigenous,11
Black/Ross,Barramundi,Indigenous,12
Black/Ross,Butter jew,Indigenous,13
Black/Ross,Eastern rainbowfish,Indigenous,14
Black/Ross,Empire gudgeon,Indigenous,15
Black/Ross,False Celebes goby,Indigenous,16
Black/Ross,Fly-specked hardyhead,Indigenous,17
Black/Ross,Gambusia,Alien,18
Black/Ross,Guppy,Alien,19
Black/Ross,Hyrtl's tandan,Indigenous,20
Black/Ross,Jungle perch,Indigenous,21
Black/Ross,Long-finned eel,Indigenous,22
Black/Ross,Mangrove jack,Indigenous,23
Black/Ross,Mozambique tilapia,Alien,24
Black/Ross,Northern perchlet (undescribed),Indigenous,25
Black/Ross,Platy,Alien,26
Black/Ross,Southern purple-spotted gudgeon,Indigenous,27
Black/Ross,Spangled perch,Indigenous,28
Black/Ross,Swamp eel,Indigenous,29
Black,Black spine-cheek gudgeon,Indigenous,30
Black,Brown spine-cheek gudgeon,Indigenous,31
Black,Giant mottled eel,Indigenous,32
Black,Roman-nose goby,Indigenous,33
Black,Scaleless goby,Indigenous,34
Black,Sea mullet,Indigenous,35
Black,Snake-head gudgeon,Indigenous,36
