Region,BasinOrZone,SubBasinOrSubZone,FinalScore,BarrierClassification,geom
Dry Tropics,Ross,Alligator Creek,135.28242819913902,4.3,"c(488692.00865044, 7859409.83622006)"
Dry Tropics,Ross,Alligator Creek,115.61627961583628,4.3,"c(490132.998554008, 7858686.44774802)"
Dry Tropics,Ross,Alligator Creek,134.49603964641116,2,"c(498672.43152224, 7855969.47202553)"
Dry Tropics,Ross,Alligator Creek,200,2,"c(499373.516529172, 7855776.27179789)"
Dry Tropics,Ross,Alligator Creek,200,2,"c(499753.687352234, 7855592.20839828)"
Dry Tropics,Ross,Alligator Creek,201.1501987730037,4.3,"c(495490.435878145, 7856210.20928441)"
Dry Tropics,Ross,Alligator Creek,148.3971079117996,4.3,"c(493849.638692874, 7856739.04225239)"
Dry Tropics,Ross,Alligator Creek,45.39156245864963,2,"c(492108.615476625, 7857384.80591653)"
Dry Tropics,Ross,Alligator Creek,213.59366951557368,4.3,"c(492634.276759577, 7862151.87171979)"
Dry Tropics,Ross,Alligator Creek,214.51908332788395,2,"c(493427.755708938, 7861158.67289585)"
Dry Tropics,Ross,Alligator Creek,219.32745534443708,2,"c(493556.409107012, 7861008.555211)"
Dry Tropics,Ross,Alligator Creek,114.37926842642092,3,"c(492246.077426916, 7857912.20027495)"
Dry Tropics,Ross,Alligator Creek,140.51473855611152,2,"c(492659.685570227, 7857766.3763632)"
Dry Tropics,Ross,Alligator Creek,127.5828706620638,3,"c(494617.398470678, 7852792.31469838)"
Dry Tropics,Ross,Alligator Creek,64.47725198542784,3,"c(494001.030153438, 7851850.55738498)"
Dry Tropics,Ross,Alligator Creek,111.94263411484128,2,"c(490688.356843961, 7857126.94021957)"
Dry Tropics,Ross,Alligator Creek,61.755347311387666,3,"c(489251.743807628, 7858769.04266222)"
Dry Tropics,Ross,Alligator Creek,153.14345645691333,2,"c(495299.998513861, 7850398.67132095)"
Dry Tropics,Ross,Alligator Creek,30.922327532245287,3,"c(497734.254460189, 7849379.91630901)"
Dry Tropics,Ross,Alligator Creek,140.05190336219468,4.3,"c(497299.542160606, 7849675.82224497)"
Dry Tropics,Ross,Alligator Creek,30.98637252064642,4.3,"c(489528.614838914, 7858198.38443999)"
Dry Tropics,Ross,Alligator Creek,120.76846108117613,3,"c(498344.611090577, 7848874.59692655)"
Dry Tropics,Ross,Alligator Creek,195,4.3,"c(495452.538469456, 7856156.85805249)"
Dry Tropics,Ross,Alligator Creek,127.05843395100607,2,"c(491811.4896316, 7856956.49343751)"
Dry Tropics,Ross,Alligator Creek,139.52295023674662,2,"c(493756.843086231, 7855827.02232824)"
Dry Tropics,Ross,Alligator Creek,38.988399292282516,3,"c(495056.808895779, 7853119.71348781)"
Dry Tropics,Ross,Alligator Creek,200,3,"c(498089.97166342, 7854328.67053116)"
Dry Tropics,Ross,Alligator Creek,120.91014949546368,3,"c(497625.297496191, 7849697.8049659)"
Dry Tropics,Ross,Alligator Creek,122.90021359043027,3,"c(495788.175177571, 7852750.32372404)"
Dry Tropics,Ross,Alligator Creek,16.26716658135972,4.3,"c(497332.202578124, 7849866.52010637)"
