unique(relevant_eras$era)
Non-Scheduled; Mining Activity - Exploration Permit Mineral (EPM)
"ERA 16 - Extraction and Screening; 1(a) - Dredging, in a year, the following quantity of material - 1000t to 10,000t"
ERA 01 - Aquaculture; 1(b) - Cultivating or holding crustaceans in enclosures that are on land and have a total area of more than 10ha but not more than 100ha
"ERA 16 - Extraction and Screening; 1(b) - Dredging, in a year, the following quantity of material - more than 10,000t but not more than 100,000t"
"ERA 62 - Resource recovery and transfer facility operation; 1(b) - Operating a facility for receiving and sorting, dismantling, baling or temporarily storing general waste"
"ERA 62 - Resource recovery and transfer facility operation; 1(c) - Operating a facility for receiving and sorting, dismantling, baling or temporarily storing category 2 regulated waste"
"ERA 01 - Aquaculture; 2(a) - Cultivating or holding marine, estuarine or freshwater organisms, other than crustaceans, in enclosures that are on land and have a total area of more than 100 square metres but not more than 10ha"
"ERA 60 - Waste disposal; 2(a) - Operating a facility for disposing of, in a year, the following quantity of waste mentioned in subsection (1)(b) - less than 2000t"
"ERA 27 - Seafood processing; Seafood processing (the relevant activity) consists of processing, in a year, 500t or more of seafood or seafood products"
"Schedule 3; 09 - A mining activity involving drilling, costeaning, pitting or carrying out geological surveys causing significant disturbance"
"Ancillary 08 - Chemical Storage; 1 - Storing a total of 50t or more of chemicals of dangerous goods class 1 or class 2, division 2.3 under subsection (1)(a)"
"Ancillary 60 - Waste disposal; 1(a) - Operating a facility for disposing of, in a year, the following quantity of waste mentioned in subsection (1)(a) - less than 50,000t"
"Ancillary 30 - Metal smelting and refining; 1(a) - Processing, in a year, 1t to 100t of gold"
"Ancillary 63 - Sewage Treatment; 1(a-i) - Operating sewage treatment works, other than no-release works, with a total daily peak design capacity of 21 to 100EP - if treated effluent is discharged from the works to an infiltration trench or through an irri"
"Ancillary 63 - Sewage Treatment; 1(b-i) - Operating sewage treatment works, other than no-release works, with a total daily peak design capacity of more than 100 but not more than 1500EP if treated effluent is discharged from the works to an infiltration "
"Ancillary 62 - Resource recovery and transfer facility operation; 1(c) - Operating a facility for receiving and sorting, dismantling, baling or temporarily storing category 2 regulated waste"
"Ancillary 63 - Sewage Treatment; 1(d) - Operating sewage treatment works, other than no-release works, with a total daily peak design capacity of more than 4000 but not more than 10,000EP"
"Schedule 3; 10 - Investigating the potential development of a mineral resource by large bulk sampling or constructing an exploratory shaft, adit or open pit"
Schedule 3; 13 - Mining black coal
Schedule 3; 16 - Mining gold ore
"Ancillary 08 - Chemical Storage; 2 - Storing 50t or more of chemicals of dangerous goods class 6, division 6.1 under subsection (1)(b)"
"Ancillary 31 - Mineral processing; 2(b) - Processing, in a year, the following quantities of mineral products, other than coke - more than 100,000t"
"Ancillary 16 - Extraction and Screening; 2(c) - Extracting, other than by dredging, in a year, the following quantity of material - more than 1,000,000t"
"Ancillary 60 - Waste disposal; 2(h) - Operating a facility for disposing of, in a year, the following quantity of waste mentioned in subsection (1)(b) - more than 200,000t"
Ancillary 08 - Chemical Storage; 3 - Storing more than 500 cubic metres of chemicals of class C1 or C2 combustible liquids under AS 1940 or dangerous goods class 3 under subsection (1)(c)
Ancillary 64 - Water treatment; 3 - Treating 10ML or more raw water in a day
"Ancillary 08 - Chemical Storage; 4 - storing 200t or more of chemicals that are solids or gases, other than chemicals mentioned in items 1 to 3, under subsection (1)(d)"
"Ancillary 08 - Chemical Storage; 5 - storing 200 cubic metres or more of chemicals that are liquids, other than chemicals mentioned in items 1 to 3, under subsection (1)(d)"
Non-Scheduled; Mining Activity - Exploration Permit Coal (EPC)
Non-Scheduled; Mining Activity - Mineral Development Licence (MDL)
Non-Scheduled; Mining Activity - Mining Claim (MC)
Non-Scheduled; Mining Activity - Mining Lease (ML)
Ancillary 15 - Fuel burning; Using fuel burning equipment that is capable of burning at least 500kg of fuel in an hour
"ERA 63 - Sewage Treatment; 1(a-i) - Operating sewage treatment works, other than no-release works, with a total daily peak design capacity of 21 to 100EP - if treated effluent is discharged from the works to an infiltration trench or through an irrigation"
"ERA 16 - Extraction and Screening; 2(a) - Extracting, other than by dredging, in a year, the following quantity of material - 5,000t to 100,000t"
