Lga,Postcode_Within_Burdekin,Suburb
Etheridge Shire,4816,Conjuboy
Charters Towers Regional,4816,Greenvale
Etheridge Shire,4816,Lyndhurst
Charters Towers Regional,4820,Basalt
Charters Towers Regional,4820,Greenvale
Etheridge Shire,4820,Lyndhurst
Etheridge Shire,4821,Lyndhurst
Flinders Shire,4821,Porcupine
Charters Towers Regional,4871,Basalt
Etheridge Shire,4871,Conjuboy
Tablelands Regional,4871,Minnamoolka
Charters Towers Regional,4871,Greenvale
Etheridge Shire,4871,Lyndhurst
Flinders Shire,4871,Porcupine
Tablelands Regional,4872,Minnamoolka
Charters Towers Regional,4872,Greenvale
Barcaldine Regional,4726,Aramac
Charters Towers Regional,4726,Pentland
Flinders Shire,4726,Torrens Creek
Barcaldine Regional,4816,Aramac
Charters Towers Regional,4816,Pentland
Flinders Shire,4816,Porcupine
Flinders Shire,4816,Torrens Creek
Flinders Shire,4820,Porcupine
Barcaldine Regional,4821,Aramac
Charters Towers Regional,4821,Basalt
Charters Towers Regional,4821,Pentland
Flinders Shire,4821,Torrens Creek
Hinchinbrook Shire,4816,Bambaroo
Hinchinbrook Shire,4816,Mount Fox
Townsville City,4816,Crystal Creek
Hinchinbrook Shire,4816,Upper Stone
Charters Towers Regional,4816,Valley Of Lagoons
Hinchinbrook Shire,4816,Yuruga
Charters Towers Regional,4816,Paluma
Hinchinbrook Shire,4850,Bambaroo
Hinchinbrook Shire,4850,Mount Fox
Townsville City,4850,Crystal Creek
Hinchinbrook Shire,4850,Upper Stone
Charters Towers Regional,4850,Valley Of Lagoons
Tablelands Regional,4850,Wairuna
Hinchinbrook Shire,4850,Wallaman
Hinchinbrook Shire,4850,Yuruga
Charters Towers Regional,4850,Paluma
Charters Towers Regional,4872,Valley Of Lagoons
Tablelands Regional,4872,Wairuna
Barcaldine Regional,4721,Alpha
Barcaldine Regional,4721,Aramac
Isaac Regional,4721,Belyando
Isaac Regional,4721,Clermont
Isaac Regional,4721,Gemini Mountains
Isaac Regional,4721,Elgin
Whitsunday Regional,4721,Mount Coolon
Isaac Regional,4721,Frankfield
Barcaldine Regional,4721,Jericho
Isaac Regional,4721,Dysart
Isaac Regional,4721,Eaglefield
Isaac Regional,4721,Kilcummin
Charters Towers Regional,4721,Llanarth
Isaac Regional,4721,Laglan
Isaac Regional,4721,Moranbah
Charters Towers Regional,4721,Pentland
Isaac Regional,4721,Quetta
Isaac Regional,4721,Wolfang
Isaac Regional,4721,Winchester
Central Highlands Regional,4721,Peak Vale
Isaac Regional,4721,Peak Vale
Isaac Regional,4721,Pasha
Barcaldine Regional,4724,Alpha
Isaac Regional,4724,Clermont
Isaac Regional,4724,Quetta
Central Highlands Regional,4724,Peak Vale
Isaac Regional,4726,Laglan
Barcaldine Regional,4728,Aramac
Barcaldine Regional,4728,Jericho
Isaac Regional,4728,Laglan
Isaac Regional,4741,Burton
Whitsunday Regional,4741,Newlands
Isaac Regional,4741,Mount Britton
Mackay Regional,4741,Eungella Hinterland
Isaac Regional,4741,Dysart
Isaac Regional,4741,Turrawulla
Isaac Regional,4741,Kemmis
Isaac Regional,4741,Moranbah
Isaac Regional,4741,Winchester
Isaac Regional,4742,Burton
Isaac Regional,4742,Elphinstone
Isaac Regional,4742,Mount Britton
Whitsunday Regional,4742,Mount Coolon
Mackay Regional,4742,Eungella Dam
