LGA_Within_Burdekin,Suburb_Within_Burdekin
Burdekin Shire,Airdmillan
Burdekin Shire,Airville
Barcaldine Regional,Alpha
Charters Towers Regional,Alabama Hill
Burdekin Shire,Ayr
Whitsunday Regional,Andromache
Burdekin Shire,Alva
Barcaldine Regional,Aramac
Hinchinbrook Shire,Bambaroo
Burdekin Shire,Barratta
Townsville City,Barringha
Charters Towers Regional,Basalt
Isaac Regional,Belyando
Mackay Regional,Bloomsbury
Charters Towers Regional,Black Jack
Blackall Tambo Regional,Blackall
Whitsunday Regional,Bogie
Charters Towers Regional,Breddan
Mackay Regional,Broken River
Whitsunday Regional,Bowen
Burdekin Shire,Brandon
Charters Towers Regional,Broughton
Isaac Regional,Burton
Townsville City,Cape Cleveland
Charters Towers Regional,Campaspe
Townsville City,Calcium
Burdekin Shire,Clare
Burdekin Shire,Carstairs
Whitsunday Regional,Collinsville
Charters Towers Regional,Columbia
Townsville City,Clemant
Isaac Regional,Clermont
Charters Towers Regional,Charters Towers City
Burdekin Shire,Colevale
Burdekin Shire,Coral Sea
Townsville City,Coral Sea
Etheridge Shire,Conjuboy
Isaac Regional,Gemini Mountains
Mackay Regional,Eungella
Burdekin Shire,Mount Kelly
Charters Towers Regional,Dotswood
Burdekin Shire,Mulgrave
Burdekin Shire,Eight Mile Creek
Hinchinbrook Shire,Mount Fox
Isaac Regional,Elphinstone
Whitsunday Regional,Newlands
Isaac Regional,Elgin
Charters Towers Regional,Millchester
Isaac Regional,Mount Britton
Whitsunday Regional,Mount Coolon
Burdekin Shire,Mona Park
Mackay Regional,Finch Hatton
Charters Towers Regional,Mingela
Tablelands Regional,Minnamoolka
Townsville City,Mount Elliot
Townsville City,Cungulla
Mackay Regional,Eungella Dam
Mackay Regional,Eungella Hinterland
Whitsunday Regional,Mount Wyatt
Burdekin Shire,Dalbeg
Mackay Regional,Dalrymple Heights
Mackay Regional,Netherdale
Isaac Regional,Frankfield
Burdekin Shire,Cromarty
Burdekin Shire,Giru
Whitsunday Regional,Gumlu
Burdekin Shire,Fredericksfield
Burdekin Shire,Jarvisfield
Barcaldine Regional,Jericho
Burdekin Shire,Jerona
Isaac Regional,Glenden
Whitsunday Regional,Guthalungra
Townsville City,Crystal Creek
Burdekin Shire,Home Hill
Charters Towers Regional,Homestead
Isaac Regional,Dysart
Isaac Regional,Eaglefield
Charters Towers Regional,Greenvale
Mackay Regional,Crediton
Charters Towers Regional,Hervey Range
Townsville City,Hervey Range
Isaac Regional,Hail Creek
Burdekin Shire,Inkerman
Burdekin Shire,Groper Creek
Charters Towers Regional,Grand Secret
Townsville City,Granite Vale
Burdekin Shire,Horseshoe Lagoon
Hinchinbrook Shire,Upper Stone
Charters Towers Regional,Valley Of Lagoons
Charters Towers Regional,Southern Cross
Isaac Regional,Turrawulla
Isaac Regional,Suttor
Burdekin Shire,Swans Lagoon
Townsville City,Lynam
Etheridge Shire,Lyndhurst
Isaac Regional,Kilcummin
Burdekin Shire,Kirknie
Isaac Regional,Kemmis
Burdekin Shire,Majors Creek
Townsville City,Majors Creek
Charters Towers Regional,Llanarth
Central Highlands Regional,Lochington
Central Highlands Regional,Mantuan Downs
Burdekin Shire,McDesme
Charters Towers Regional,Mosman Park
Isaac Regional,Laglan
Isaac Regional,Moranbah
Burdekin Shire,Mount Surround
Burdekin Shire,Millaroo
Mackay Regional,Yalboroo
Charters Towers Regional,Pentland
Charters Towers Regional,Ravenswood
Townsville City,Woodstock
Charters Towers Regional,Queenton
Isaac Regional,Quetta
Isaac Regional,Wolfang
Central Highlands Regional,Willows
Burdekin Shire,Wangaratta
Tablelands Regional,Wairuna
Burdekin Shire,Rangemore
Isaac Regional,Winchester
Hinchinbrook Shire,Wallaman
Hinchinbrook Shire,Yuruga
Central Highlands Regional,Peak Vale
Isaac Regional,Peak Vale
Blackall Tambo Regional,Windeyer
Whitsunday Regional,Scottville
Burdekin Shire,Upper Haughton
Burdekin Shire,Shirbourne
Charters Towers Regional,Towers Hill
Charters Towers Regional,Richmond Hill
Isaac Regional,Pasha
Charters Towers Regional,Paluma
Charters Towers Regional,Seventy Mile
Townsville City,Paluma
Charters Towers Regional,Reid River
Burdekin Shire,Rita Island
Burdekin Shire,Osborne
Whitsunday Regional,Springlands
Townsville City,Reid River
Flinders Shire,Porcupine
Charters Towers Regional,Toll
Flinders Shire,Torrens Creek
