Centre.Name,Centre.Type,Official.Low.Year.Level,Official.High.Year.Level,Education.Level,Officer.In.Charge.Title,Email,Internet.Site,Phone.Number,Actual.Address.Line.1,Actual.Address.Line.2,Actual.Address.Line.3,Actual.Address.Post.Code,Postal.Address.Line.1,Postal.Address.Line.2,Postal.Address.Post.Code,Education.Geographic.Region,Federal.Electorate,State.Electorate,Local.Government.Area,All.Student.Count,Early.Childhood.Registrations,Sector,Non.State.Sector,HWP.Sub.Basin,SubBasinOrSubZone,geometry
Bluewater State School,State School,Prep Year,Year 6,Primary,Principal,principal@bluewaterss.eq.edu.au,bluewaterss.eq.edu.au,(07) 4751 2333,NA,Buckby Street,Bluewater,4818,P O Box 814,Deeragun,4818,North Queensland,Herbert,Hinchinbrook,Townsville (C),358,0,State,NA,NA,Bluewater Creek,"c(146.555658, -19.174864)"
Bohlevale State School,State School,Early Childhood,Year 6,Primary,Principal,principal@bohlevaless.eq.edu.au,bohlevaless.eq.edu.au,(07) 4729 3555,NA,Bohlevale School Road,Burdell,4818,Bohlevale School Road,Bohle,4818,North Queensland,Herbert,Hinchinbrook,Townsville (C),496,5,State,NA,NA,Bohle River,"c(146.685598, -19.24885)"
Calvary Christian College (Mount Louisa),Non-State School,Prep Year,Year 12,Combined,Principal,admin@calvary.qld.edu.au,calvary.qld.edu.au,(07) 4722 9201,NA,569 Bayswater Road,Mount Louisa,4814,PO Box 1544,Aitkenvale,4814,North Queensland,Herbert,Townsville,Townsville (C),1055,NA,Non-State,Independent,NA,Bohle River,"c(146.738237, -19.270303)"
Carinity Education - Shalom (Condon),Non-State School,Prep Year,Year 12,Combined,Head of School,shalom@carinity.qld.edu.au,carinity.qld.edu.au/shalom/,(07) 4445 2100,NA,190 Hervey Range Road,Condon,4815,PO Box 366,Thuringowa Central,4817,North Queensland,Herbert,Thuringowa,Townsville (C),190,NA,Non-State,Independent,NA,Bohle River,"c(146.711001, -19.319738)"
Eaton College (Mount Louisa),Non-State School,Prep Year,Year 10,Combined,Executive Principal,admin@eatoncollege.qld.edu.au,eatoncollege.qld.edu.au,(07) 4722 9201,NA,593 - 615 Bayswater Road,Mount Louisa,4814,593 - 615 Bayswater Road,Mount Louisa,4814,North Queensland,Herbert,Townsville,Townsville (C),15,NA,Non-State,Independent,NA,Bohle River,"c(146.737141, -19.270394)"
Good Shepherd Catholic School (Rasmussen),Non-State School,Prep Year,Year 6,Primary,Principal,rsmssn@tsv.catholic.edu.au,gstsv.catholic.edu.au,(07) 4774 0477,NA,65 Allambie Lane,Rasmussen,4815,PO Box 10006,Rasmussen,4815,North Queensland,Herbert,Thuringowa,Townsville (C),364,NA,Non-State,Catholic,NA,Bohle River,"c(146.72448, -19.364326)"
Heatley Secondary College,State High School,Year 7,Year 12,Secondary,Principal,principal@heatleysc.eq.edu.au,heatleysc.eq.edu.au,(07) 4726 8333,NA,Cnr Hanlon Street & Fulham Road,Heatley,4814,PO Box 64,Aitkenvale,4814,North Queensland,Herbert,Thuringowa,Townsville (C),757,0,State,NA,NA,Bohle River,"c(146.755203, -19.286632)"
Heatley State School,State School,Early Childhood,Year 6,Primary,Principal,principal@heatleyss.eq.edu.au,heatleyss.eq.edu.au,(07) 4759 5333,NA,410 Fulham Road,Heatley,4814,PO Box 283,Aitkenvale,4814,North Queensland,Herbert,Thuringowa,Townsville (C),414,6,State,NA,NA,Bohle River,"c(146.74918, -19.293818)"
Kelso State School,State School,Prep Year,Year 6,Primary,Principal,admin@kelsoss.eq.edu.au,kelsoss.eq.edu.au,(07) 4789 6222,NA,Yvette Street,Kelso,4815,PO Box 10175,Rasmussen,4815,North Queensland,Herbert,Thuringowa,Townsville (C),333,0,State,NA,NA,Bohle River,"c(146.726402, -19.388601)"
Kirwan State School,State School,Prep Year,Year 6,Primary,Principal,admin@kirwanss.eq.edu.au,kirwanss.eq.edu.au,(07) 4799 1888,NA,21 Burnda Street,Kirwan,4817,PO Box 1047,Thuringowa Central,4817,North Queensland,Herbert,Thuringowa,Townsville (C),729,0,State,NA,NA,Bohle River,"c(146.733378, -19.299305)"
