Code,Date,FY,Indicator,Units,Values,Basin,Supplier,Region,Environment,Sub_Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,Watercourse_Area,Watercourse_Proportion_of_Sub_Basin,Lat,Long,WQO,LOR,SF,Failure,Stat
AltC1.7,2019-04-04T09:29:11Z,2019,DIN,mg.L,0.047,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2019-04-04T09:29:11Z,2019,FRP,mg.L,0.002,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2019-04-04T09:29:11Z,2019,High_DO,%.Sat,89.3,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2019-04-04T09:29:11Z,2019,Low_DO,%.Sat,89.3,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2019-04-04T09:29:11Z,2019,TP,mg.L,0.02,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2019-04-04T09:29:11Z,2019,Turbidity,NTU,8,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2019-05-02T10:18:15Z,2019,DIN,mg.L,0.005,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2019-05-02T10:18:15Z,2019,FRP,mg.L,0.002,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2019-05-02T10:18:15Z,2019,High_DO,%.Sat,86.6,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2019-05-02T10:18:15Z,2019,Low_DO,%.Sat,86.6,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2019-05-02T10:18:15Z,2019,TP,mg.L,0.012,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2019-05-02T10:18:15Z,2019,Turbidity,NTU,7.12,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2019-06-18T11:28:39Z,2019,DIN,mg.L,0.02,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2019-06-18T11:28:39Z,2019,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2019-06-18T11:28:39Z,2019,High_DO,%.Sat,88.1,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2019-06-18T11:28:39Z,2019,Low_DO,%.Sat,88.1,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2019-06-18T11:28:39Z,2019,TP,mg.L,0.013,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2019-06-18T11:28:39Z,2019,Turbidity,NTU,8.63,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2019-07-17T10:49:49Z,2020,DIN,mg.L,0.016,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2019-07-17T10:49:49Z,2020,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2019-07-17T10:49:49Z,2020,High_DO,%.Sat,91.5,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2019-07-17T10:49:49Z,2020,Low_DO,%.Sat,91.5,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2019-07-17T10:49:49Z,2020,TP,mg.L,0.006,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2019-07-17T10:49:49Z,2020,Turbidity,NTU,5.96,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2019-08-14T17:30:11Z,2020,DIN,mg.L,0.002,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2019-08-14T17:30:11Z,2020,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2019-08-14T17:30:11Z,2020,High_DO,%.Sat,124.4,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2019-08-14T17:30:11Z,2020,Low_DO,%.Sat,124.4,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2019-08-14T17:30:11Z,2020,TP,mg.L,0.04,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2019-08-14T17:30:11Z,2020,Turbidity,NTU,36.89,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2019-09-11T11:14:15Z,2020,DIN,mg.L,0.002,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2019-09-11T11:14:15Z,2020,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2019-09-11T11:14:15Z,2020,High_DO,%.Sat,104.9,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2019-09-11T11:14:15Z,2020,Low_DO,%.Sat,104.9,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2019-09-11T11:14:15Z,2020,TP,mg.L,0.025,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2019-09-11T11:14:15Z,2020,Turbidity,NTU,17.77,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2019-10-16T16:13:10Z,2020,DIN,mg.L,0.002,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2019-10-16T16:13:10Z,2020,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2019-10-16T16:13:10Z,2020,High_DO,%.Sat,117,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2019-10-16T16:13:10Z,2020,Low_DO,%.Sat,117,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2019-10-16T16:13:10Z,2020,TP,mg.L,0.029,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.025,0.003,0.04,high,median
