Code,Indicator,Value_Unchanged,Value_Halved
AltC1.7,FRP,8,4
BOH3.9,Ammonia,15,2
BOH3.9,DIN,15,2
BOH3.9,NOX,8,9
BOH3.9,TP,6,11
BWC2.4,Ammonia,9,3
BWC2.4,FRP,11,1
BWC2.4,NOX,11,1
CB3,Ammonia,12,3
CB3,DIN,14,1
CB3,NOX,13,2
CB3,TP,12,3
CB8,Ammonia,8,8
CB8,DIN,11,5
CB8,NOX,7,9
CB8,TP,5,11
CB9,Ammonia,9,7
CB9,DIN,14,2
CB9,NOX,13,3
CB9,TP,6,10
CO1,Ammonia,4,7
CO1,DIN,8,3
CO1,FRP,1,10
CO1,NOX,6,5
CO1,TP,3,8
CO2,Ammonia,8,4
CO2,DIN,10,2
CO2,FRP,NA,12
CO2,NOX,6,6
CO2,TP,2,10
CO3,Ammonia,6,5
CO3,DIN,9,2
CO3,FRP,NA,11
CO3,NOX,6,5
CO3,TP,3,8
CryC1.0,Ammonia,11,1
CryC1.0,FRP,8,4
CryC1.0,NOX,11,1
LOU0.9,NOX,9,7
LOU0.9,TP,14,2
LOU6.0,NOX,13,2
RC04,Ammonia,2,2
RC04,DIN,2,2
RC04,FRP,1,3
RC04,NOX,2,2
RC04,TP,1,3
RC07,Ammonia,1,3
RC07,DIN,2,2
RC07,FRP,NA,4
RC07,NOX,2,2
RC07,TP,NA,4
RR05,Ammonia,1,3
RR05,DIN,1,3
RR05,FRP,NA,4
RR05,NOX,1,3
RR05,TP,2,2
RolC0.8,FRP,10,2
SC1,Ammonia,5,5
SC1,FRP,1,9
SC1,NOX,8,2
SC1,TP,2,8
SC2,Ammonia,6,5
SC2,DIN,9,2
SC2,FRP,NA,11
SC2,NOX,8,3
SC2,TP,1,10
SC4,Ammonia,8,4
SC4,DIN,11,1
SC4,FRP,NA,12
SC4,NOX,10,2
SC4,TP,2,10
SLC0.0,Ammonia,4,2
SLC0.0,DIN,5,1
SLC0.0,FRP,1,5
SLC0.0,NOX,3,3
SLC2.0,Ammonia,8,3
SLC2.0,DIN,10,1
SLC2.0,FRP,4,7
SLC2.0,NOX,8,3
SWC0.6,Ammonia,11,1
SWC0.6,FRP,11,1
SWC0.6,NOX,11,1
