Region,Basin,Sub_Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,DIN,FRP,High_DO,Low_DO,TP,Turbidity,Nutrients,Min_DO,Phys_Chem,Overall_WQ,DIN_Weighted,FRP_Weighted,High_DO_Weighted,Low_DO_Weighted,TP_Weighted,Turbidity_Weighted,Nutrients_Weighted,Phys_Chem_Weighted,Overall_WQ_Weighted,High_DO_Grade,Low_DO_Grade,TP_Grade,Turbidity_Grade,Nutrients_Grade,Min_DO_Grade,Phys_Chem_Grade,Overall_WQ_Grade,DIN_Weighted_Grade,FRP_Weighted_Grade,High_DO_Weighted_Grade,Low_DO_Weighted_Grade,TP_Weighted_Grade,Turbidity_Weighted_Grade,Nutrients_Weighted_Grade,Phys_Chem_Weighted_Grade,Overall_WQ_Weighted_Grade
DT,Ross,Bohle River,Bohle River,348,0.28,90,NA,90,90,90,66,90,90,78,84,25.2,NA,25.2,25.2,25.2,18.5,25.2,21.8,23.5,A,A,A,B,A,A,B,A,D,NA,D,D,D,E,D,D,D
DT,Ross,Bohle River,Louisa Creek,348,0.28,73,NA,90,0,0,65,36,0,32,34,20.6,NA,25.2,0,0,18.3,10.3,9.1,9.7,A,E,E,B,D,E,D,D,E,NA,D,E,E,E,E,E,E
DT,Ross,Lower Ross River,Ross Creek,864,0.69,90,90,90,90,90,90,90,90,90,90,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B
DT,Ross,Lower Ross River,Ross River,864,0.69,90,90,90,70,90,90,90,70,80,85,62.5,62.5,62.5,49,62.5,62.5,62.5,55.7,59.1,A,B,A,A,A,B,B,A,B,B,B,C,B,B,B,C,C
DT,Ross,Stuart Creek,Sandfly Creek,28,0.02,73,NA,90,90,90,64,81,90,77,79,1.7,NA,2,2,2,1.5,1.8,1.7,1.8,A,A,A,B,A,A,B,B,E,NA,E,E,E,E,E,E,E
DT,Ross,Alligator Creek,Alligator Creek,5,0,90,NA,90,90,90,90,90,90,90,90,0.4,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,A,A,A,A,A,A,A,A,E,NA,E,E,E,E,E,E,E
DT,Black,Bluewater Creek,Althaus Creek,277,0.52,90,90,33,90,90,0,90,33,16,53,47,47,17.6,47,47,0,47,8.8,27.9,D,A,A,E,A,D,E,C,C,C,E,C,C,E,C,E,D
DT,Black,Bluewater Creek,Bluewater Creek,277,0.52,64,90,76,90,90,90,77,76,83,80,33.5,47,39.7,47,47,47,40.2,43.3,41.8,B,A,A,A,B,B,A,B,D,C,D,C,C,C,D,C,C
DT,Black,Bluewater Creek,Sleeper Log Creek,277,0.52,90,90,90,90,90,59,90,90,74,82,47,47,47,47,47,31.2,47,39.1,43,A,A,A,C,A,A,B,A,C,C,C,C,C,D,C,D,C
DT,Black,Rollingstone Creek,Camp Oven Creek,135,0.25,90,90,90,63,90,37,90,63,50,70,22.9,22.9,22.9,16.2,22.9,9.6,22.9,12.9,17.9,A,B,A,D,A,B,C,B,D,D,D,E,D,E,D,E,E
DT,Black,Rollingstone Creek,Saltwater Creek,135,0.25,71,90,90,90,90,90,80,90,90,85,18.3,22.9,22.9,22.9,22.9,22.9,20.6,22.9,21.7,A,A,A,A,B,A,A,A,E,D,D,D,D,D,E,D,D
DT,Black,Rollingstone Creek,Rollingstone Creek,135,0.25,61,90,90,90,90,69,75,90,79,77,15.6,22.9,22.9,22.9,22.9,17.8,19.2,20.3,19.8,A,A,A,B,B,A,B,B,E,D,D,D,D,E,E,E,E
DT,Black,Crystal Creek,Crystal Creek,118,0.22,65,90,90,90,90,7,77,90,48,63,14.6,20.1,20.1,20.1,20.1,1.7,17.4,10.9,14.1,A,A,A,E,B,A,C,B,E,E,E,E,E,E,E,E,E
DT,Ross,Bohle River,NA,348,0.28,81,NA,90,45,45,65,63,NA,55,59,22.9,NA,25.2,12.6,12.6,18.4,17.7,15.5,16.6,A,C,C,B,B,NA,C,C,D,NA,D,E,E,E,E,E,E
DT,Ross,Lower Ross River,NA,864,0.69,90,90,90,80,90,90,90,NA,85,87,62.5,62.5,62.5,55.7,62.5,62.5,62.5,59.1,60.8,A,B,A,A,A,NA,A,A,B,B,B,C,B,B,B,C,C
DT,Ross,Stuart Creek,NA,28,0.02,73,NA,90,90,90,64,81,NA,77,79,1.7,NA,2,2,2,1.5,1.8,1.7,1.8,A,A,A,B,A,NA,B,B,E,NA,E,E,E,E,E,E,E
DT,Ross,Alligator Creek,NA,5,0,90,NA,90,90,90,90,90,NA,90,90,0.4,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,A,A,A,A,A,NA,A,A,E,NA,E,E,E,E,E,E,E
DT,Black,Bluewater Creek,NA,277,0.52,81,90,66,90,90,49,85,NA,58,71,42.5,47,34.8,47,47,26.1,44.7,30.4,37.6,B,A,A,C,A,NA,C,B,C,C,D,C,C,D,C,D,D
DT,Black,Rollingstone Creek,NA,135,0.25,74,90,90,81,90,65,82,NA,73,77,18.9,22.9,22.9,20.7,22.9,16.8,20.9,18.7,19.8,A,A,A,B,A,NA,B,B,E,D,D,E,D,E,E,E,E
DT,Black,Crystal Creek,NA,118,0.22,65,90,90,90,90,7,77,NA,48,63,14.6,20.1,20.1,20.1,20.1,1.7,17.4,10.9,14.1,A,A,A,E,B,NA,C,B,E,E,E,E,E,E,E,E,E
DT,Ross,NA,NA,1245,NA,84,90,90,71,75,77,79,NA,74,77,87.3,62.5,90,70.7,77.4,82.6,82.4,76.7,79.5,A,B,B,B,B,NA,B,B,A,B,A,B,B,A,A,B,B
DT,Black,NA,NA,531,NA,76,90,79,86,90,50,83,NA,63,73,76,90,77.8,87.8,90,44.5,83,60,71.5,B,A,A,C,A,NA,B,B,B,A,B,A,A,C,A,C,B
