Region,Basin,Sub_Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,DIN,High_DO,Low_DO,TP,Turbidity,FRP,Nutrients,Min_DO,Phys_Chem,Overall_WQ,DIN_Weighted,FRP_Weighted,High_DO_Weighted,Low_DO_Weighted,TP_Weighted,Turbidity_Weighted,Nutrients_Weighted,Phys_Chem_Weighted,Overall_WQ_Weighted,Low_DO_Grade,TP_Grade,Turbidity_Grade,FRP_Grade,Nutrients_Grade,Min_DO_Grade,Phys_Chem_Grade,Overall_WQ_Grade,DIN_Weighted_Grade,FRP_Weighted_Grade,High_DO_Weighted_Grade,Low_DO_Weighted_Grade,TP_Weighted_Grade,Turbidity_Weighted_Grade,Nutrients_Weighted_Grade,Phys_Chem_Weighted_Grade,Overall_WQ_Weighted_Grade
DT,Ross,Bohle River,Bohle River,348,0.27951807228915665,90,90,90,90,66.09596473029045,NA,90,90,78.04798236514523,84.02399118257262,25.1566265060241,NA,25.1566265060241,25.1566265060241,25.1566265060241,18.475016647502873,25.1566265060241,21.815821576763486,23.486224041393793,A,A,B,NA,A,A,B,A,D,NA,D,D,D,E,D,D,D
DT,Ross,Bohle River,Louisa Creek,348,0.27951807228915665,73.53038506147065,90,0,0,65.33625144175316,NA,36.76519253073533,0,32.66812572087658,34.716659125805954,20.55307148706168,NA,25.1566265060241,0,0,18.262663053598477,10.27653574353084,9.131331526799238,9.703933635165038,E,E,B,NA,D,E,D,D,E,NA,D,E,E,E,E,E,E
DT,Ross,Lower Ross River,Ross Creek,864,0.6939759036144578,90,90,90,90,90,90,90,90,90,90,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B
DT,Ross,Lower Ross River,Ross River,864,0.6939759036144578,90,90,70.56619047619047,90,90,90,90,70.56619047619047,80.28309523809523,85.14154761904761,62.45783132530121,62.45783132530121,62.45783132530121,48.97123580034423,62.45783132530121,62.45783132530121,62.45783132530121,55.71453356282271,59.08618244406196,B,A,A,A,A,B,B,A,B,B,B,C,B,B,B,C,C
DT,Ross,Stuart Creek,Sandfly Creek,28,0.02248995983935743,73.99327064595258,90,90,90,64.85046986721144,NA,81.99663532297629,90,77.42523493360572,79.710935128291,1.6641056852101785,NA,2.024096385542169,2.024096385542169,2.024096385542169,1.4584844628770446,1.8441010353761738,1.7412904242096068,1.79269572979289,A,A,B,NA,A,A,B,B,E,NA,E,E,E,E,E,E,E
DT,Ross,Alligator Creek,Alligator Creek,5,0.00401606425702811,90,90,90,90,90,NA,90,90,90,90,0.36144578313252995,NA,0.36144578313252995,0.36144578313252995,0.36144578313252995,0.36144578313252995,0.36144578313252995,0.36144578313252995,0.36144578313252995,A,A,A,NA,A,A,A,A,E,NA,E,E,E,E,E,E,E
DT,Black,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,90,33.697999999999986,90,90,0,90,90,33.697999999999986,16.848999999999993,53.424499999999995,46.994715363060195,46.994715363060195,17.595865758937798,46.994715363060195,46.994715363060195,0,46.994715363060195,8.797932879468899,27.896324121264545,A,A,E,A,A,D,E,C,C,C,E,C,C,E,C,E,D
DT,Black,Bluewater Creek,Bluewater Creek,277.65,0.5221635040340021,64.15153846153846,76.01500000000006,90,90,90,90,77.07576923076923,76.01500000000006,83.00750000000002,80.04163461538462,33.49759211224898,46.994715363060195,39.6922587591447,46.994715363060195,46.994715363060195,46.994715363060195,40.24615373765458,43.343487061102444,41.794820399378516,A,A,A,A,B,B,A,B,D,C,D,C,C,C,D,C,C
DT,Black,Bluewater Creek,Sleeper Log Creek,277.65,0.5221635040340021,90,90,90,90,59.725500000000004,90,90,90,74.86275,82.431375,46.994715363060195,46.994715363060195,46.994715363060195,46.994715363060195,46.994715363060195,31.186476360182798,46.994715363060195,39.090595861621495,43.042655612340845,A,A,C,A,A,A,B,A,C,C,C,C,C,D,C,D,C
DT,Black,Rollingstone Creek,Camp Oven Creek,135.2,0.2542643822992872,90,90,63.8282417644681,90,37.786033343000014,90,90,63.8282417644681,50.80713755373406,70.40356877686703,22.88379440693585,22.88379440693585,22.88379440693585,16.22924846549205,22.88379440693585,9.607642427498169,22.88379440693585,12.91844544649511,17.90111992671548,B,A,D,A,A,B,C,B,D,D,D,E,D,E,D,E,E
