Region,Basin,Sub_Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,DIN,FRP,High_DO,Low_DO,TP,Turbidity,Nutrients,Min_DO,Phys_Chem,Overall_WQ,DIN_Weighted,FRP_Weighted,High_DO_Weighted,Low_DO_Weighted,TP_Weighted,Turbidity_Weighted,Nutrients_Weighted,Phys_Chem_Weighted,Overall_WQ_Weighted,High_DO_Grade,Low_DO_Grade,TP_Grade,Turbidity_Grade,Nutrients_Grade,Min_DO_Grade,Phys_Chem_Grade,Overall_WQ_Grade,DIN_Weighted_Grade,FRP_Weighted_Grade,High_DO_Weighted_Grade,Low_DO_Weighted_Grade,TP_Weighted_Grade,Turbidity_Weighted_Grade,Nutrients_Weighted_Grade,Phys_Chem_Weighted_Grade,Overall_WQ_Weighted_Grade
DT,Ross,Bohle River,Bohle River,348,0.27951807228915665,90,NA,90,90,90,67.59281096275474,90,90,78.79640548137738,84.39820274068869,25.1566265060241,NA,25.1566265060241,25.1566265060241,25.1566265060241,18.89341222091458,25.1566265060241,22.02501936346934,23.59082293474672,A,A,A,B,A,A,B,A,D,NA,D,D,D,E,D,D,D
DT,Ross,Bohle River,Louisa Creek,348,0.27951807228915665,67.20511099400566,NA,90,0,0,65.80005917159764,33.60255549700283,0,32.90002958579882,33.25129254140083,18.78504307302327,NA,25.1566265060241,0,0,18.392305696157415,9.392521536511635,9.196152848078707,9.294337192295172,A,E,E,B,D,E,D,D,E,NA,D,E,E,E,E,E,E
DT,Ross,Lower Ross River,Ross Creek,864,0.6939759036144578,90,90,90,90,90,90,90,90,90,90,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B
DT,Ross,Lower Ross River,Ross River,864,0.6939759036144578,90,90,90,90,90,75.61101078932424,90,90,82.80550539466212,86.40275269733107,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,52.47221953572381,62.45783132530121,57.465025430512505,59.96142837790686,A,A,A,B,A,A,A,A,B,B,B,B,B,C,B,C,C
DT,Ross,Stuart Creek,Sandfly Creek,28,0.02248995983935743,90,NA,90,90,90,34.7739,90,90,62.38695,76.193475,2.024096385542169,NA,2.024096385542169,2.024096385542169,2.024096385542169,0.7820636144578313,2.024096385542169,1.40308,1.7135881927710845,A,A,A,D,A,A,B,B,E,NA,E,E,E,E,E,E,E
DT,Ross,Alligator Creek,Alligator Creek,5,0.00401606425702811,90,NA,90,90,90,48.9636,90,90,69.48179999999999,79.7409,0.36144578313252995,NA,0.36144578313252995,0.36144578313252995,0.36144578313252995,0.19664096385542157,0.36144578313252995,0.27904337349397573,0.3202445783132528,A,A,A,C,A,A,B,B,E,NA,E,E,E,E,E,E,E
DT,Black,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,49.154999999999994,90,80.12268765133169,90,56.839999999999996,0,52.997499999999995,80.12268765133169,40.061343825665844,46.529421912832916,25.66694704079137,46.994715363060195,41.837143336641226,46.994715363060195,29.679773569292678,0,27.673360305042024,20.918571668320613,24.295965986681317,B,A,C,E,C,B,D,C,D,C,C,C,D,E,D,E,D
DT,Black,Bluewater Creek,Bluewater Creek,277.65,0.5221635040340021,65.41608695652174,90,90,73.6687282361847,90,63.357375617166724,77.70804347826086,73.6687282361847,68.51305192667571,73.1105477024683,34.15789318541037,46.994715363060195,46.994715363060195,38.467121273534836,46.994715363060195,33.082909258658226,40.57630427423528,35.77501526609653,38.17565977016591,A,B,A,B,B,B,B,B,D,C,C,D,C,D,D,D,D
DT,Black,Bluewater Creek,Sleeper Log Creek,277.65,0.5221635040340021,61.089999999999996,90,90,90,90,59.507999999999996,75.545,90,74.75399999999999,75.14949999999999,31.89896846143719,46.994715363060195,46.994715363060195,46.994715363060195,46.994715363060195,31.072905798055398,39.44684191224869,39.03381058055779,39.240326246403235,A,A,A,C,B,A,B,B,D,C,C,C,C,D,D,D,D
DT,Black,Rollingstone Creek,Camp Oven Creek,135.2,0.2542643822992872,80.30673819742489,90,90,42.85145454545474,90,55.1780769230769,85.15336909871245,42.85145454545474,49.01476573426582,67.08406741648913,20.419143182238813,22.88379440693585,22.88379440693585,10.895598620626034,22.88379440693585,14.029819645308702,21.65146879458733,12.462709132967369,17.05708896377735,A,C,A,C,A,C,C,B,E,D,D,E,D,E,D,E,E
DT,Black,Rollingstone Creek,Saltwater Creek,135.2,0.2542643822992872,78.10973684210526,90,90,90,90,69.8970848679565,84.05486842105263,90,79.94854243397825,82.00170542751545,19.860523989717773,22.88379440693585,22.88379440693585,22.88379440693585,22.88379440693585,17.772339108471815,21.37215919832681,20.32806675770383,20.85011297801532,A,A,A,B,A,A,B,A,E,D,D,D,D,E,D,E,E
DT,Black,Rollingstone Creek,Rollingstone Creek,135.2,0.2542643822992872,34.8,90,90,77.87908188585607,90,80.05410891089107,62.4,77.87908188585607,78.96659539837357,70.68329769918678,8.848400504015194,22.88379440693585,22.88379440693585,19.801876649742802,22.88379440693585,20.354908552747585,15.866097455475522,20.07839260124519,17.972245028360355,A,B,A,B,B,B,B,B,E,D,D,E,D,E,E,E,E
DT,Black,Crystal Creek,Crystal Creek,118.88,0.22357211366671056,56.115,90,90,90,90,43.369499999999995,73.0575,90,66.68475,69.871125,12.545749158407464,20.12149023000395,20.12149023000395,20.12149023000395,20.12149023000395,9.696210783668402,16.33361969420571,14.908850506836176,15.621235100520943,A,A,A,C,B,A,B,B,E,E,E,E,E,E,E,E,E
DT,Ross,Bohle River,NA,348,0.27951807228915665,78.60255549700284,NA,90,45,45,66.6964350671762,61.80127774850142,NA,55.8482175335881,58.82474764104476,21.970834789523686,NA,25.1566265060241,12.57831325301205,12.57831325301205,18.642858958536,17.274574021267867,15.610586105774024,16.442580063520946,A,C,C,B,B,NA,C,C,D,NA,D,E,E,E,E,E,E
DT,Ross,Lower Ross River,NA,864,0.6939759036144578,90,90,90,90,90,82.80550539466212,90,NA,86.40275269733107,88.20137634866553,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,62.45783132530121,57.465025430512505,62.45783132530121,59.96142837790686,61.209629851604035,A,A,A,A,A,NA,A,A,B,B,B,B,B,C,B,C,B
DT,Ross,Stuart Creek,NA,28,0.02248995983935743,90,NA,90,90,90,34.7739,90,NA,62.38695,76.193475,2.024096385542169,NA,2.024096385542169,2.024096385542169,2.024096385542169,0.7820636144578313,2.024096385542169,1.40308,1.7135881927710845,A,A,A,D,A,NA,B,B,E,NA,E,E,E,E,E,E,E
DT,Ross,Alligator Creek,NA,5,0.00401606425702811,90,NA,90,90,90,48.9636,90,NA,69.48179999999999,79.7409,0.36144578313252995,NA,0.36144578313252995,0.36144578313252995,0.36144578313252995,0.19664096385542157,0.36144578313252995,0.27904337349397573,0.3202445783132528,A,A,A,C,A,NA,B,B,E,NA,E,E,E,E,E,E,E
