Code,Date,FY,Indicator,Units,Values,Sub_Basin,Supplier,Region,Environment,Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,Watercourse_Area,Watercourse_Proportion_of_Sub_Basin,Lat,Long,WQO,LOR,SF,Failure,Stat,Month,N_Months,Val_Min,Val_Twentieth,Val_Mean,Val_Median,Val_Eightieth,Val_Max,N_Samples
A.Weir,2022-07-13T08:55:00Z,2023,DIN,mg.L,0.015,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.02,0.02,0.38,high,median,Jul,12,0.0015,0.009200000000000002,0.04472580645161291,0.0225,0.0908,0.167,63
A.Weir,2022-07-13T08:55:00Z,2023,FRP,mg.L,NA,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.02,NA,NA,high,median,Jul,12,5e-4,0.002,0.013274509803921569,0.005,0.031,0.057,63
A.Weir,2022-07-13T08:55:00Z,2023,High_DO,%.Sat,79.64987334639534,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,110,0.5,120,high,median,Jul,12,60.73579722937258,79.64987334639534,85.55866455597133,85.39080704840799,92.74364000991461,101.41903938349203,63
A.Weir,2022-07-13T08:55:00Z,2023,Low_DO,%.Sat,79.64987334639534,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,90,0.5,70,low,median,Jul,12,60.73579722937258,79.64987334639534,85.55866455597133,85.39080704840799,92.74364000991461,101.41903938349203,63
A.Weir,2022-07-13T08:55:00Z,2023,TP,mg.L,NA,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.03,0.02,0.46,high,median,Jul,12,Inf,NA,NA,NA,NA,-Inf,63
A.Weir,2022-07-13T08:55:00Z,2023,Turbidity,NTU,3.6,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,10,0.1,35,high,median,Jul,12,1.6,3.1,5.581818181818182,4.2,6.5,18.3,63
A.Weir,2022-08-04T08:59:00Z,2023,DIN,mg.L,0.025,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.02,0.02,0.38,high,median,Aug,12,0.0015,0.009200000000000002,0.04472580645161291,0.0225,0.0908,0.167,63
A.Weir,2022-08-04T08:59:00Z,2023,FRP,mg.L,NA,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.02,NA,NA,high,median,Aug,12,5e-4,0.002,0.013274509803921569,0.005,0.031,0.057,63
A.Weir,2022-08-04T08:59:00Z,2023,High_DO,%.Sat,74.32453298764176,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,110,0.5,120,high,median,Aug,12,60.73579722937258,79.64987334639534,85.55866455597133,85.39080704840799,92.74364000991461,101.41903938349203,63
A.Weir,2022-08-04T08:59:00Z,2023,Low_DO,%.Sat,74.32453298764176,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,90,0.5,70,low,median,Aug,12,60.73579722937258,79.64987334639534,85.55866455597133,85.39080704840799,92.74364000991461,101.41903938349203,63
A.Weir,2022-08-04T08:59:00Z,2023,TP,mg.L,NA,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.03,0.02,0.46,high,median,Aug,12,Inf,NA,NA,NA,NA,-Inf,63
A.Weir,2022-08-04T08:59:00Z,2023,Turbidity,NTU,3.3,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,10,0.1,35,high,median,Aug,12,1.6,3.1,5.581818181818182,4.2,6.5,18.3,63
A.Weir,2022-09-23T08:31:00Z,2023,DIN,mg.L,0.015,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.02,0.02,0.38,high,median,Sep,12,0.0015,0.009200000000000002,0.04472580645161291,0.0225,0.0908,0.167,63
A.Weir,2022-09-23T08:31:00Z,2023,FRP,mg.L,NA,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.02,NA,NA,high,median,Sep,12,5e-4,0.002,0.013274509803921569,0.005,0.031,0.057,63
A.Weir,2022-09-23T08:31:00Z,2023,High_DO,%.Sat,91.58210081416802,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,110,0.5,120,high,median,Sep,12,60.73579722937258,79.64987334639534,85.55866455597133,85.39080704840799,92.74364000991461,101.41903938349203,63
A.Weir,2022-09-23T08:31:00Z,2023,Low_DO,%.Sat,91.58210081416802,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,90,0.5,70,low,median,Sep,12,60.73579722937258,79.64987334639534,85.55866455597133,85.39080704840799,92.74364000991461,101.41903938349203,63
A.Weir,2022-09-23T08:31:00Z,2023,TP,mg.L,NA,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.03,0.02,0.46,high,median,Sep,12,Inf,NA,NA,NA,NA,-Inf,63
A.Weir,2022-09-23T08:31:00Z,2023,Turbidity,NTU,2.4,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,10,0.1,35,high,median,Sep,12,1.6,3.1,5.581818181818182,4.2,6.5,18.3,63
A.Weir,2022-10-26T08:39:00Z,2023,DIN,mg.L,0.015,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.02,0.02,0.38,high,median,Oct,12,0.0015,0.009200000000000002,0.04472580645161291,0.0225,0.0908,0.167,63
A.Weir,2022-10-26T08:39:00Z,2023,FRP,mg.L,NA,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.02,NA,NA,high,median,Oct,12,5e-4,0.002,0.013274509803921569,0.005,0.031,0.057,63
A.Weir,2022-10-26T08:39:00Z,2023,High_DO,%.Sat,92.74364000991461,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,110,0.5,120,high,median,Oct,12,60.73579722937258,79.64987334639534,85.55866455597133,85.39080704840799,92.74364000991461,101.41903938349203,63
A.Weir,2022-10-26T08:39:00Z,2023,Low_DO,%.Sat,92.74364000991461,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,90,0.5,70,low,median,Oct,12,60.73579722937258,79.64987334639534,85.55866455597133,85.39080704840799,92.74364000991461,101.41903938349203,63
A.Weir,2022-10-26T08:39:00Z,2023,TP,mg.L,NA,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.03,0.02,0.46,high,median,Oct,12,Inf,NA,NA,NA,NA,-Inf,63
