Code,Indicator,Value_Halved,Value_Unchanged
A.Weir,Ammonia,9,2
A.Weir,DIN,8,3
A.Weir,NOX,10,1
AltC7.0,Ammonia,5,6
AltC7.0,DIN,2,9
AltC7.0,NOX,9,2
B.Weir,Ammonia,8,3
B.Weir,DIN,7,4
B.Weir,NOX,9,2
B.Weir,TP,9,2
BR6.8,Ammonia,4,8
BR6.8,DIN,1,11
BR6.8,NOX,2,10
BR6.8,Turbidity,3,9
BWC6.1,Ammonia,7,5
BWC6.1,NOX,2,10
CLMP.BR,Ammonia,5,46
CLMP.BR,NOX,3,48
CLMP.RR,Ammonia,8,44
CLMP.RR,DIN,1,51
CLMP.RR,FRP,2,50
CLMP.RR,NOX,6,46
CryC7.1,Ammonia,8,4
CryC7.1,DIN,1,11
CryC7.1,NOX,2,10
CryC7.1,Turbidity,2,10
G.Weir,Ammonia,9,1
G.Weir,DIN,4,6
G.Weir,NOX,6,4
LC4.5,Ammonia,4,8
LC4.5,DIN,2,10
LC4.5,NOX,9,3
OC3.7,Ammonia,6,2
OC3.7,NOX,2,6
P.Lake,Ammonia,7,5
P.Lake,DIN,5,7
P.Lake,NOX,10,2
P.Lake,TP,10,2
RC5.5,Ammonia,3,9
RC5.5,NOX,4,8
RC5.5,Turbidity,1,11
RLS1,Ammonia,11,1
RLS1,DIN,9,3
RLS1,NOX,10,2
RLS1,TP,6,6
RLS2,Ammonia,11,1
RLS2,DIN,9,3
RLS2,NOX,10,2
RLS2,TP,7,5
RLS3,Ammonia,11,1
RLS3,DIN,11,1
RLS3,NOX,11,1
RLS3,TP,6,6
RLS4,Ammonia,11,1
RLS4,DIN,10,2
RLS4,NOX,10,2
RLS4,TP,7,5
RLS5,Ammonia,11,1
RLS5,DIN,10,2
RLS5,NOX,11,1
RLS5,TP,6,6
RLS6,Ammonia,23,1
RLS6,DIN,59,7
RLS6,NOX,61,5
RLS6,TP,62,28
RLS7,Ammonia,12,NA
RLS7,DIN,11,1
RLS7,NOX,11,1
RLS7,TP,6,6
SC2.7,Ammonia,10,2
SC2.7,DIN,5,7
SC2.7,NOX,8,4
SLC5.2,Ammonia,8,4
SLC5.2,DIN,4,8
SLC5.2,NOX,10,2
