Region,Basin,Sub_Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,DIN,FRP,High_DO,Low_DO,TP,Turbidity,Nutrients,Min_DO,Phys_Chem,Overall_WQ,DIN_Weighted,FRP_Weighted,High_DO_Weighted,Low_DO_Weighted,TP_Weighted,Turbidity_Weighted,Nutrients_Weighted,Phys_Chem_Weighted,Overall_WQ_Weighted,High_DO_Grade,Low_DO_Grade,TP_Grade,Turbidity_Grade,Nutrients_Grade,Min_DO_Grade,Phys_Chem_Grade,Overall_WQ_Grade,DIN_Weighted_Grade,FRP_Weighted_Grade,High_DO_Weighted_Grade,Low_DO_Weighted_Grade,TP_Weighted_Grade,Turbidity_Weighted_Grade,Nutrients_Weighted_Grade,Phys_Chem_Weighted_Grade,Overall_WQ_Weighted_Grade
DT,Ross,Upper Ross River,Ross Lake,458,0.32,90,90,90,90,61.089999999999996,90,75.545,90,90,82.77250000000001,28.8,28.8,28.8,28.8,19.5488,28.8,24.174400000000002,28.8,26.4872,A,A,B,A,B,A,A,A,D,D,D,D,E,D,D,D,D
DT,Ross,Lower Ross River,Aplins Weir,786,0.56,61.089999999999996,90,80.36683037918782,55.97969811263903,NA,90,61.089999999999996,55.97969811263903,72.98984905631951,67.03992452815976,34.2104,50.400000000000006,45.005425012345185,31.348630943077858,NA,50.400000000000006,34.2104,40.874315471538935,37.54235773576947,B,C,NA,A,B,C,B,B,D,C,C,D,NA,C,D,D,D
DT,Ross,Lower Ross River,Gleesons Weir,786,0.56,90,NA,90,5.980753831194697,NA,90,90,5.980753831194697,47.99037691559735,68.99518845779868,50.400000000000006,NA,50.400000000000006,3.3492221454690307,NA,50.400000000000006,50.400000000000006,26.87461107273452,38.637305536367265,A,E,NA,A,A,E,C,B,C,NA,C,E,NA,C,C,D,D
DT,Ross,Lower Ross River,Blacks Weir,786,0.56,58.3625,NA,90,14.95237452500293,90,90,74.18125,14.95237452500293,52.47618726250147,63.32871863125074,32.683,NA,50.400000000000006,8.373329734001642,50.400000000000006,50.400000000000006,41.541500000000006,29.386664867000825,35.464082433500415,A,E,A,A,B,E,C,B,D,NA,C,E,C,C,C,D,D
DT,Ross,Bohle River,Bohle Mid-Field,169,0.12,36.5197,NA,90,57.12419999999997,0,67.15420118343195,18.25985,57.12419999999997,62.13920059171596,40.19952529585798,4.382364,NA,10.799999999999999,6.854903999999997,0,8.058504142011834,2.191182,7.456704071005915,4.823943035502958,A,C,E,B,E,C,B,D,E,NA,E,E,E,E,E,E,E
DT,Ross,Bohle River,Bohle Far-Field,169,0.12,60.46152,NA,90,41.20900000000002,0,66.7470564516129,30.23076,41.20900000000002,53.97802822580646,42.10439411290323,7.255382399999999,NA,10.799999999999999,4.945080000000002,0,8.009646774193548,3.6276911999999997,6.4773633870967755,5.052527293548387,A,C,E,B,D,C,C,C,E,NA,E,E,E,E,E,E,E
DT,Black,Black River,Black River,250,0.37,63.840406504065044,90,47.90799999999999,90,61.089999999999996,90,62.465203252032524,47.90799999999999,68.954,65.70960162601625,23.620950406504065,33.3,17.725959999999993,33.3,22.603299999999997,33.3,23.112125203252035,25.51298,24.312552601626013,C,A,B,A,B,C,B,B,D,D,E,D,D,D,D,D,D
DT,Black,Bluewater Creek,Althaus Creek,162,0.24,90,90,90,90,48.720000000000006,0,69.36,90,45,57.18,21.599999999999998,21.599999999999998,21.599999999999998,21.599999999999998,11.692800000000002,0,16.6464,10.799999999999999,13.7232,A,A,C,E,B,A,C,C,D,D,D,D,E,E,E,E,E
DT,Black,Bluewater Creek,Bluewater Creek,162,0.24,66.75260162601626,90,80.04238095238095,66.7220754716981,90,90,78.37630081300813,66.7220754716981,78.36103773584905,78.36866927442858,16.020624390243903,21.599999999999998,19.210171428571428,16.013298113207544,21.599999999999998,21.599999999999998,18.81031219512195,18.80664905660377,18.80848062586286,B,B,A,A,B,B,B,B,E,D,E,E,D,D,E,E,E
DT,Black,Bluewater Creek,Sleeper Log Creek,162,0.24,71.38310344827586,90,90,20.401500000000013,90,0,80.69155172413792,20.401500000000013,10.200750000000006,45.44615086206896,17.131944827586207,21.599999999999998,21.599999999999998,4.896360000000003,21.599999999999998,0,19.365972413793102,2.4481800000000016,10.90707620689655,A,E,A,E,B,E,E,C,E,D,D,E,D,E,E,E,E
DT,Black,Rollingstone Creek,Leichhardt Creek,145,0.2148148148148148,90,90,90,61.31873563218389,90,90,90,61.31873563218389,75.65936781609194,82.82968390804598,19.333333333333332,19.333333333333332,19.333333333333332,13.172172839506167,19.333333333333332,19.333333333333332,19.333333333333332,16.252753086419748,17.79304320987654,A,B,A,A,A,B,B,A,E,E,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,Saltwater Creek,145,0.2148148148148148,90,90,90,90,90,75.45364773580185,90,90,82.72682386790092,86.36341193395046,19.333333333333332,19.333333333333332,19.333333333333332,19.333333333333332,19.333333333333332,16.208561365468544,19.333333333333332,17.770947349400934,18.552140341367135,A,A,A,B,A,A,A,A,E,E,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,Rollingstone Creek,145,0.2148148148148148,61.750690571049134,90,90,40.49849999999999,90,90,75.87534528552456,40.49849999999999,65.24924999999999,70.56229764276227,13.26496315970685,19.333333333333332,19.333333333333332,8.699677777777776,19.333333333333332,19.333333333333332,16.29914824652009,14.016505555555552,15.15782690103782,A,D,A,A,B,D,B,B,E,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,Ollera Creek,116,0.17185185185185184,71.23012738853502,90,90,0,90,90,80.61506369426752,0,45,62.80753184713376,12.241029299363055,15.466666666666665,15.466666666666665,0,15.466666666666665,15.466666666666665,13.85384798301486,7.7333333333333325,10.793590658174097,A,E,A,A,B,E,C,B,E,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,Crystal Creek,116,0.17185185185185184,68.48142857142857,90,90,90,90,90,79.24071428571429,90,90,84.62035714285715,11.768660317460316,15.466666666666665,15.466666666666665,15.466666666666665,15.466666666666665,15.466666666666665,13.617663492063492,15.466666666666665,14.542165079365079,A,A,A,A,B,A,A,A,E,E,E,E,E,E,E,E,E
DT,Black,Paluma Dam,Paluma Lake,2,0.00296296296296296,40.60000000000001,90,90,55.557024388354776,90,90,65.30000000000001,55.557024388354776,72.77851219417738,69.0392560970887,0.1202962962962962,0.26666666666666644,0.26666666666666644,0.1646134055951251,0.26666666666666644,0.26666666666666644,0.19348148148148134,0.21564003613089575,0.20456075880618854,A,C,A,A,B,C,B,B,E,E,E,E,E,E,E,E,E
DT,Ross,Upper Ross River,NA,458,0.32,90,90,90,90,61.089999999999996,90,75.545,NA,90,82.77250000000001,28.8,28.8,28.8,28.8,19.5488,28.8,24.174400000000002,28.8,26.4872,A,A,B,A,B,NA,A,A,D,D,D,D,E,D,D,D,D
DT,Ross,Lower Ross River,NA,786,0.56,69.8175,90,86.78894345972927,25.637608822945552,90,90,75.09041666666667,NA,57.818804411472776,66.45461053906972,39.0978,50.400000000000006,48.6018083374484,14.357060940849511,50.400000000000006,50.400000000000006,42.05063333333334,32.37853047042476,37.21458190187904,A,D,A,A,B,NA,C,B,D,C,C,E,C,C,C,D,D
DT,Ross,Bohle River,NA,169,0.12,48.490610000000004,NA,90,49.166599999999995,0,66.95062881752243,24.245305000000002,NA,58.058614408761215,41.1519597043806,5.8188732000000005,NA,10.799999999999999,5.899991999999999,0,8.034075458102691,2.9094366000000003,6.967033729051345,4.938235164525672,A,C,E,B,D,NA,C,C,E,NA,E,E,E,E,E,E,E
DT,Black,Black River,NA,250,0.37,63.840406504065044,90,47.90799999999999,90,61.089999999999996,90,62.465203252032524,NA,68.954,65.70960162601625,23.620950406504065,33.3,17.725959999999993,33.3,22.603299999999997,33.3,23.112125203252035,25.51298,24.312552601626013,C,A,B,A,B,NA,B,B,D,D,E,D,D,D,D,D,D
DT,Black,Bluewater Creek,NA,162,0.24,76.04523502476404,90,86.68079365079365,59.041191823899375,76.24000000000001,30,76.14261751238202,NA,44.520595911949684,60.33160671216585,18.25085640594337,21.599999999999998,20.803390476190476,14.16988603773585,18.297600000000003,7.199999999999999,18.274228202971685,10.684943018867923,14.479585610919804,A,C,B,D,B,NA,C,C,E,D,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,NA,145,0.2148148148148148,80.58356352368304,90,90,63.939078544061296,90,85.15121591193395,85.29178176184152,NA,74.54514722799762,79.91846449491958,17.310543275457835,19.333333333333332,19.333333333333332,13.735061316872425,19.333333333333332,18.2917426773784,18.321938304395584,16.013401997125413,17.1676701507605,A,B,A,A,A,NA,B,B,E,E,E,E,E,E,E,E,E
