Code,Date,FY,Indicator,Units,Values,Supplier,Geographic_Area,Region,Environment,Zone,Sub_Zone,Sample_Type,Water_Type,Management,Lat,Long,Inside_Port_Zone,WQO,LOR,Failure,Stat
BUR1,2012-10-09,2013,Chla,ug.L,0.18585000000000002,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2012-10-09,2013,FRP,mg.L,0.0032874654999999996,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2012-10-09,2013,NOX,mg.L,0.0036222855,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2012-10-09,2013,PN,mg.L,0.0134208795,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2012-10-09,2013,PP,mg.L,0.0018628454999999999,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2012-10-09,2013,TSS,mg.L,0.6075,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2013-02-19,2013,Chla,ug.L,0.48330000000000006,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2013-02-19,2013,FRP,mg.L,0.001520627,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2013-02-19,2013,NOX,mg.L,0.0033294765000000002,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2013-02-19,2013,PN,mg.L,0.021625836000000002,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2013-02-19,2013,PP,mg.L,0.0022035155000000002,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2013-02-19,2013,TSS,mg.L,0.5641499999999999,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2013-06-18,2013,Chla,ug.L,0.22065,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2013-06-18,2013,FRP,mg.L,0.0025194095,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2013-06-18,2013,NOX,mg.L,0.001269306,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2013-06-18,2013,PN,mg.L,0.012460493999999999,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2013-06-18,2013,PP,mg.L,0.0015546940000000001,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2013-06-18,2013,TSS,mg.L,0.21125,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2013-10-09,2014,Chla,ug.L,0.14984999999999998,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2013-10-09,2014,FRP,mg.L,0.0022917799999999998,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2013-10-09,2014,NOX,mg.L,0.0028202129999999994,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2013-10-09,2014,PN,mg.L,0.012422667,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2013-10-09,2014,PP,mg.L,0.00157947,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2013-10-09,2014,TSS,mg.L,0.27580000000000005,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2014-02-08,2014,Chla,ug.L,1.0307,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2014-02-08,2014,FRP,mg.L,7.7425e-4,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2014-02-08,2014,NOX,mg.L,0.002589048,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2014-02-08,2014,PN,mg.L,0.023357471999999997,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2014-02-08,2014,PP,mg.L,0.0032859169999999997,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2014-02-08,2014,TSS,mg.L,1.7891499999999998,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2014-06-30,2014,Chla,ug.L,0.2066,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2014-06-30,2014,FRP,mg.L,0.0014602354999999998,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2014-06-30,2014,NOX,mg.L,0.001465446,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2014-06-30,2014,PN,mg.L,0.009378293999999999,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2014-06-30,2014,PP,mg.L,0.0014261685,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2014-06-30,2014,TSS,mg.L,0.4275,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2014-09-21,2015,Chla,ug.L,0.2688,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2014-09-21,2015,FRP,mg.L,0.002375399,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2014-09-21,2015,NOX,mg.L,0.0023319645,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2014-09-21,2015,PN,mg.L,0.014487040500000001,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2014-09-21,2015,PP,mg.L,0.0017559989999999998,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2014-09-21,2015,TSS,mg.L,0.395,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
