Code,Indicator,Value_Halved,Value_Unchanged
BUR1,Chla,1,9
BUR1,FRP,1,5
BUR2,FRP,4,3
BUR2,NOX,1,6
BUR2,TSS,1,10
BUR4,FRP,2,5
CB1,Chla,3,14
CB1,TN,2,3
CB1,TP,1,4
CB15,FRP,4,NA
CB15,NOX,4,NA
CB15,TP,3,1
CB15,TSS,1,3
CB16,FRP,4,NA
CB16,NOX,4,NA
CB16,TP,3,1
CB16,TSS,1,3
CB2,Chla,1,18
CB2,TN,1,6
CB6,Chla,1,17
CB6,TN,1,6
CB6,TSS,2,16
ORN1,FRP,3,NA
ORN1,NOX,8,3
ORN1,TP,9,2
ORN1,TSS,5,6
ORN2,FRP,3,NA
ORN2,NOX,8,3
ORN2,TP,10,1
P05,FRP,4,NA
P05,NOX,4,NA
P05,TP,3,1
P05,TSS,2,2
Pelorus,Chla,6,348
RR07,FRP,4,NA
RR07,NOX,3,1
RR07,TP,2,2
RR09,FRP,4,NA
RR09,NOX,4,NA
RR09,TP,2,2
SB01,FRP,4,NA
SB01,NOX,3,1
SB01,TP,3,1
SB01,TSS,1,3
SJ01,FRP,4,NA
SJ01,NOX,4,NA
SJ01,TP,3,1
SJ01,TSS,1,3
