Code,Indicator,Val_Pass,Val_Fail,Keep_Site
BUR1,Chla,10,0,Keep
BUR1,FRP,6,0,Keep
BUR1,NOX,6,0,Keep
BUR1,PN,6,0,Keep
BUR1,PP,6,0,Keep
BUR1,Secchi,6,0,Keep
BUR1,TSS,10,0,Keep
BUR2,Chla,11,0,Keep
BUR2,FRP,7,0,Keep
BUR2,NOX,7,0,Keep
BUR2,PN,7,0,Keep
BUR2,PP,7,0,Keep
BUR2,Secchi,7,0,Keep
BUR2,TSS,11,0,Keep
BUR4,Chla,10,0,Keep
BUR4,FRP,7,0,Keep
BUR4,NOX,7,0,Keep
BUR4,PN,7,0,Keep
BUR4,PP,7,0,Keep
BUR4,Secchi,7,0,Keep
BUR4,TSS,10,0,Keep
Beagle,Turbidity,325,0,Keep
CB1,Chla,17,0,Keep
CB1,NOX,5,0,Keep
CB1,TN,5,0,Keep
CB1,TP,5,0,Keep
CB1,TSS,17,0,Keep
CB1,Turbidity,17,0,Keep
CB15,FRP,4,0,Keep
CB15,NOX,0,4,Remove
CB15,Secchi,4,0,Keep
CB15,TN,4,0,Keep
CB15,TP,4,0,Keep
CB15,TSS,4,0,Keep
CB15,Turbidity,4,0,Keep
CB16,FRP,4,0,Keep
CB16,NOX,4,0,Keep
CB16,Secchi,4,0,Keep
CB16,TN,4,0,Keep
CB16,TP,4,0,Keep
CB16,TSS,4,0,Keep
CB16,Turbidity,4,0,Keep
CB2,Chla,19,0,Keep
CB2,NOX,7,0,Keep
CB2,TN,7,0,Keep
CB2,TP,7,0,Keep
CB2,TSS,19,0,Keep
CB2,Turbidity,19,0,Keep
CB6,Chla,18,0,Keep
CB6,NOX,7,0,Keep
CB6,TN,7,0,Keep
CB6,TP,7,0,Keep
CB6,TSS,18,0,Keep
CB6,Turbidity,18,0,Keep
Geoffrey,Chla,365,0,Keep
Geoffrey,Turbidity,365,0,Keep
ORN1,Chla,10,0,Keep
ORN1,FRP,3,0,Keep
ORN1,NOX,11,0,Keep
ORN1,TP,11,0,Keep
ORN1,TSS,11,0,Keep
ORN1,Turbidity,10,0,Keep
ORN2,Chla,10,0,Keep
ORN2,FRP,3,0,Keep
ORN2,NOX,11,0,Keep
ORN2,TP,11,0,Keep
ORN2,TSS,4,0,Keep
ORN2,Turbidity,10,0,Keep
P05,FRP,4,0,Keep
P05,NOX,0,4,Remove
P05,Secchi,4,0,Keep
P05,TN,4,0,Keep
P05,TP,4,0,Keep
P05,TSS,4,0,Keep
P05,Turbidity,4,0,Keep
Pandora,Chla,217,0,Keep
Pandora,Turbidity,217,0,Keep
Pelorus,Chla,354,0,Keep
Pelorus,Turbidity,352,0,Keep
RR07,FRP,4,0,Keep
RR07,NOX,4,0,Keep
RR07,Secchi,4,0,Keep
RR07,TN,4,0,Keep
RR07,TP,4,0,Keep
RR07,TSS,4,0,Keep
RR07,Turbidity,4,0,Keep
RR09,FRP,4,0,Keep
RR09,NOX,4,0,Keep
RR09,Secchi,4,0,Keep
RR09,TN,4,0,Keep
RR09,TP,4,0,Keep
RR09,TSS,4,0,Keep
RR09,Turbidity,4,0,Keep
S2,Turbidity,348,0,Keep
SB01,FRP,4,0,Keep
SB01,NOX,4,0,Keep
SB01,Secchi,4,0,Keep
SB01,TN,4,0,Keep
SB01,TP,4,0,Keep
SB01,TSS,4,0,Keep
SB01,Turbidity,4,0,Keep
SJ01,FRP,4,0,Keep
SJ01,NOX,4,0,Keep
SJ01,Secchi,4,0,Keep
SJ01,TN,4,0,Keep
SJ01,TP,4,0,Keep
SJ01,TSS,4,0,Keep
SJ01,Turbidity,4,0,Keep
