Code,Indicator,Value_Unchanged,Value_Halved
BUR1,FRP,5,2
BUR2,FRP,5,2
BUR4,FRP,4,3
BUR4,NOX,6,1
CB1,Chla,11,1
CB15,FRP,NA,4
CB15,NOX,NA,4
CB15,TP,NA,4
CB16,FRP,NA,4
CB16,NOX,NA,4
CB16,TP,NA,4
CB6,Chla,11,3
CB6,TSS,13,1
ORN1,FRP,NA,11
ORN1,NOX,5,6
ORN1,TP,2,9
ORN1,TSS,9,2
ORN2,FRP,NA,11
ORN2,NOX,4,7
ORN2,TP,2,9
ORN2,TSS,9,2
P05,FRP,NA,4
P05,NOX,NA,4
P05,TP,NA,4
Pandora,Chla,359,6
RR07,FRP,NA,4
RR07,NOX,1,3
RR07,TP,NA,4
RR07,TSS,2,2
RR09,FRP,NA,4
RR09,NOX,NA,4
RR09,TP,1,3
SB01,FRP,NA,4
SB01,NOX,NA,4
SB01,TP,NA,4
SB01,TSS,2,2
SJ01,FRP,NA,4
SJ01,NOX,NA,4
SJ01,TP,NA,4
