Code,Date,FY,Indicator,Units,Supplier,Geographic_Area,Region,Environment,Zone,Sub_Zone,Sample_Type,Water_Type,Management,Lat,Long,Inside_Port_Zone,WQO,LOR,Failure,Stat,Month,Values,N_Months,Val_Min,Val_Twentieth,Val_Mean,Val_Median,Val_Eightieth,Val_Max,Val_Stat,N_Samples
BUR1,2022-10-29,2023,Chla,ug.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.45,0.1,high,mean,Oct,0.1847,12,0.091,0.316,0.551,0.488,0.715,2.67,0.551,314
BUR1,2022-10-29,2023,NOX,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.002,0.02,high,mean,Oct,9e-4,7,3e-4,4e-4,0.0017,9e-4,0.0026,0.0051,0.0017,9
BUR1,2022-10-29,2023,PN,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.02,0.005,high,mean,Oct,0.013,7,0.013,0.0203,0.0301,0.0256,0.0304,0.0782,0.0301,9
BUR1,2022-10-29,2023,PP,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.0028,0.01,high,mean,Oct,0.0018,7,0.0018,0.0018,0.0023,0.0021,0.0028,0.0033,0.0023,9
BUR1,2022-10-29,2023,Secchi,m,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,10,0.01,low,mean,Oct,9.5,7,6.2,6.76,7.9556,8,8.9,10,7.9556,9
BUR1,2022-10-29,2023,TSS,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,2,0.1,high,mean,Oct,0.3175,7,0.3175,0.4185,0.7775,0.7275,0.9395,1.94,0.7775,9
BUR1,2022-12-02,2023,Chla,ug.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.45,0.1,high,mean,Dec,0.164,12,0.091,0.316,0.551,0.488,0.715,2.67,0.551,314
BUR1,2022-12-02,2023,NOX,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.002,0.02,high,mean,Dec,0.0038,7,3e-4,4e-4,0.0017,9e-4,0.0026,0.0051,0.0017,9
BUR1,2022-12-02,2023,PN,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.02,0.005,high,mean,Dec,0.0253,7,0.013,0.0203,0.0301,0.0256,0.0304,0.0782,0.0301,9
BUR1,2022-12-02,2023,PP,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.0028,0.01,high,mean,Dec,0.0019,7,0.0018,0.0018,0.0023,0.0021,0.0028,0.0033,0.0023,9
