Region,Zone,Sub_Zone,Geographic_Area,Chla,TSS,FRP,NOX,PN,PP,Secchi,Turbidity,TN,TP,Nutrients,Phys_Chem,overall_wq,Chla_Grade,TSS_Grade,FRP_Grade,NOX_Grade,PN_Grade,PP_Grade,Secchi_Grade,Turbidity_Grade,TN_Grade,TP_Grade,Nutrients_Grade,Phys_Chem_Grade,overall_wq_Grade
DT,Halifax Bay,Midshelf,Midshelf,53.770616332620605,76.93303847914746,96.0642388635919,59.02389500669255,32.421148935444954,82.39120220937761,7.526217592102224,100,NA,NA,60.99142427181659,67.69773249009253,60.819924364843246,C,B,A,C,D,A,E,A,NA,NA,C,B,C
DT,Halifax Bay,HB.Open Coastal,H.Open Coastal,74.88983103825475,71.80127262496198,94.92254135347532,42.52103346522506,18.338818583359544,76.78092053337433,0,77.18965426286897,NA,NA,48.905463792500115,54.98391059899704,59.59306847658397,B,B,A,C,E,B,E,B,NA,NA,C,C,C
DT,Cleveland Bay,Magnetic Island,Magnetic Island,83.30040708147511,84.75084173067742,100,0,3.4127380049330114,36.0983975170229,74.00195341566814,80.85752317940243,NA,NA,13.07902591069198,80.03137074170937,58.80360124462549,A,A,A,E,E,D,B,B,NA,NA,E,B,C
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Outside Port Zone,81.06417521677147,7.529163930507046,100,100,NA,NA,83.34448099896895,0,100,100,100,34.94962922631835,72.00460148102994,A,E,A,A,NA,NA,A,E,A,A,A,D,B
DT,Cleveland Bay,CB.Open Coastal,OC.Outside Port Zone,NA,53.99622975271505,100,NA,NA,NA,39.46437546588115,39.58628961866228,81.02385311420495,100,100,44.00104827908616,72.00052413954307,NA,C,A,NA,NA,NA,D,D,A,A,A,C,B
DT,Cleveland Bay,CB.Open Coastal,OC.Inside Port Zone,NA,100,100,100,NA,NA,100,100,100,100,100,100,100,NA,A,A,A,NA,NA,A,A,A,A,A,A,A
DT,Halifax Bay,HB.Enclosed Coastal,H.Enclosed Coastal,100,73.89045750321412,100,0,NA,NA,NA,57.7762043889679,NA,100,60.59387755102041,66.01909140922923,75.53765632008322,A,B,A,E,NA,NA,NA,C,NA,A,C,B,B
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Inside Port Zone,NA,100,100,100,NA,NA,92.26306569994881,100,99.57779998630207,100,100,97.42102189998295,98.71051094999147,NA,A,A,A,NA,NA,A,A,A,A,A,A,A
DT,Cleveland Bay,CB.Enclosed Coastal,NA,81.06417521677147,63.08105278555858,100,100,NA,NA,87.80377334945888,60.59387755102041,99.78889999315103,100,100,70.70237004526044,83.92218175401064,A,B,A,A,NA,NA,A,C,A,A,A,B,A
DT,Cleveland Bay,CB.Open Coastal,NA,NA,78.44264644986615,100,100,NA,NA,73.52714300926732,73.56695171221625,90.51192655710247,100,100,75.17891372378324,87.58945686189162,NA,B,A,A,NA,NA,B,B,A,A,A,B,A
DT,Cleveland Bay,Magnetic Island,NA,83.30040708147511,84.75084173067742,100,0,3.4127380049330114,36.0983975170229,74.00195341566814,80.85752317940243,NA,NA,13.07902591069198,80.03137074170937,58.80360124462549,A,A,A,E,E,D,B,B,NA,NA,E,B,C
DT,Halifax Bay,HB.Enclosed Coastal,NA,100,73.89045750321412,100,0,NA,NA,NA,57.7762043889679,NA,100,60.59387755102041,66.01909140922923,75.53765632008322,A,B,A,E,NA,NA,NA,C,NA,A,C,B,B
DT,Halifax Bay,HB.Open Coastal,NA,74.88983103825475,71.80127262496198,94.92254135347532,42.52103346522506,18.338818583359544,76.78092053337433,0,77.18965426286897,NA,NA,48.905463792500115,54.98391059899704,59.59306847658397,B,B,A,C,E,B,E,B,NA,NA,C,C,C
DT,Halifax Bay,Midshelf,NA,53.770616332620605,76.93303847914746,96.0642388635919,59.02389500669255,32.421148935444954,82.39120220937761,7.526217592102224,100,NA,NA,60.99142427181659,67.69773249009253,60.819924364843246,C,B,A,C,D,A,E,A,NA,NA,C,B,C
DT,Cleveland Bay,NA,NA,82.03470109320102,73.65640682018139,100,80.9,3.4127380049330114,36.0983975170229,79.58411980652149,69.83583634117515,95.15041327512675,100,86.13984000357524,74.35878765595935,80.84444291757853,A,B,A,B,E,D,B,B,A,A,A,B,B
DT,Halifax Bay,NA,NA,77.20926152053295,74.20825620244118,96.99559340568908,34.14830949063921,25.41504864049541,79.77207212187734,3.7631087960511067,78.84783400903098,NA,100,57.519319069573086,63.34700347098416,66.02519468703007,B,B,A,D,D,B,E,B,NA,A,C,B,B
