Region,Zone,Sub_Zone,Geographic_Area,Chla,FRP,NOX,PN,PP,Secchi,TN,TP,TSS,Turbidity,Nutrients,Phys_Chem,overall_wq,Chla_Grade,FRP_Grade,NOX_Grade,PN_Grade,PP_Grade,Secchi_Grade,TN_Grade,TP_Grade,TSS_Grade,Turbidity_Grade,Nutrients_Grade,Phys_Chem_Grade,overall_wq_Grade
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Outside Port Zone,87,100,0,NA,NA,63,42,100,0,0,60,22,56,A,A,E,NA,NA,B,C,A,E,E,C,D,C
DT,Cleveland Bay,Magnetic Island,Magnetic Island,85,NA,11,6,40,87,NA,NA,100,99,19,95,66,A,NA,E,E,D,A,NA,NA,A,A,E,A,B
DT,Halifax Bay,HB.Enclosed Coastal,H.Enclosed Coastal,100,100,67,NA,NA,NA,100,100,88,82,83,85,89,A,A,B,NA,NA,NA,A,A,A,A,A,A,A
DT,Halifax Bay,HB.Open Coastal,H.Open Coastal,61,NA,92,37,65,10,NA,NA,81,83,67,64,64,B,NA,A,D,B,E,NA,NA,A,A,B,B,B
DT,Halifax Bay,Midshelf,Midshelf,43,NA,69,33,73,40,NA,NA,100,100,61,82,62,C,NA,B,D,B,D,NA,NA,A,A,B,A,B
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Inside Port Zone,NA,100,100,NA,NA,60,90,100,85,10,100,57,78,NA,A,A,NA,NA,C,A,A,A,E,A,C,B
DT,Cleveland Bay,CB.Open Coastal,OC.Inside Port Zone,NA,100,100,NA,NA,72,100,100,44,66,100,62,81,NA,A,A,NA,NA,B,A,A,C,B,A,B,A
DT,Cleveland Bay,CB.Open Coastal,OC.Outside Port Zone,NA,100,93,NA,NA,0,81,100,3,32,96,11,54,NA,A,A,NA,NA,E,A,A,E,D,A,E,C
DT,Cleveland Bay,CB.Enclosed Coastal,NA,87,100,60,NA,NA,61,69,100,50,5,80,39,69,A,A,C,NA,NA,B,B,A,C,E,B,D,B
DT,Cleveland Bay,CB.Open Coastal,NA,NA,100,96,NA,NA,39,90,100,24,51,98,38,68,NA,A,A,NA,NA,D,A,A,D,C,A,D,B
DT,Cleveland Bay,Magnetic Island,NA,85,NA,11,6,40,87,NA,NA,100,99,19,95,66,A,NA,E,E,D,A,NA,NA,A,A,E,A,B
DT,Halifax Bay,HB.Enclosed Coastal,NA,100,100,67,NA,NA,NA,100,100,88,82,83,85,89,A,A,B,NA,NA,NA,A,A,A,A,A,A,A
DT,Halifax Bay,HB.Open Coastal,NA,61,NA,92,37,65,10,NA,NA,81,83,67,64,64,B,NA,A,D,B,E,NA,NA,A,A,B,B,B
DT,Halifax Bay,Midshelf,NA,43,NA,69,33,73,40,NA,NA,100,100,61,82,62,C,NA,B,D,B,D,NA,NA,A,A,B,A,B
DT,Cleveland Bay,NA,NA,86,100,68,6,40,60,80,100,54,46,78,54,73,A,A,B,E,D,C,B,A,C,C,B,C,B
DT,Halifax Bay,NA,NA,70,100,77,35,69,25,100,100,90,88,71,77,73,B,A,B,D,B,D,A,A,A,A,B,B,B
