Region,Zone,Sub_Zone,Geographic_Area,Chla,FRP,NOX,PN,PP,Secchi,TN,TP,TSS,Turbidity,Nutrients,Phys_Chem,overall_wq,Chla_Grade,FRP_Grade,NOX_Grade,PN_Grade,PP_Grade,Secchi_Grade,TN_Grade,TP_Grade,TSS_Grade,Turbidity_Grade,Nutrients_Grade,Phys_Chem_Grade,overall_wq_Grade
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Outside Port Zone,87.07546441945512,100,0,NA,NA,63.63825499562515,42.96044831042221,100,0,0,60.59387755102041,22.139317654017,56.60288654149751,A,A,E,NA,NA,B,C,A,E,E,C,D,C
DT,Cleveland Bay,Magnetic Island,Magnetic Island,85.62708064200194,NA,11.399424429315763,6.899200230894225,40.86001015859399,87.18309534969522,NA,NA,100,99.27949573654534,19.719544939601327,95.48753036208018,66.94471864789449,A,NA,E,E,D,A,NA,NA,A,A,E,A,B
DT,Halifax Bay,HB.Enclosed Coastal,H.Enclosed Coastal,100,100,67.49491332388168,NA,NA,NA,100,100,88.90151707977961,82.21086882778934,83.90670921163667,85.55619295378447,89.82096738847372,A,A,B,NA,NA,NA,A,A,A,A,A,A,A
DT,Halifax Bay,HB.Open Coastal,H.Open Coastal,61.13517651686066,NA,92.99942367646943,37.348292990621594,65.35272741760141,10.501678792184086,NA,NA,81.93883508620594,83.96267843719525,67.89763315109568,64.53947475543636,64.52409480779757,B,NA,A,D,B,E,NA,NA,A,A,B,B,B
DT,Halifax Bay,Midshelf,Midshelf,43.019343311423015,NA,69.9881019509528,33.697323628144105,73.6387615395095,40.814152795889555,NA,NA,100,100,61.90292970838955,82.66242946019241,62.52823416000166,C,NA,B,D,B,D,NA,NA,A,A,B,A,B
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Inside Port Zone,NA,100,100,NA,NA,60.52195343206954,90.65478797842428,100,85.84706220651894,10.762682844306202,100,57.251889484230446,78.62594474211522,NA,A,A,NA,NA,C,A,A,A,E,A,C,B
DT,Cleveland Bay,CB.Open Coastal,OC.Inside Port Zone,NA,100,100,NA,NA,72.22074732013986,100,100,44.82522551585798,66.23802167685986,100,62.716237397009806,81.35811869850491,NA,A,A,NA,NA,B,A,A,C,B,A,B,A
DT,Cleveland Bay,CB.Open Coastal,OC.Outside Port Zone,NA,100,93.41107137264503,NA,NA,0,81.02385311420494,100,3.677985043850363,32.44395759241203,96.7055356863225,11.963338022698945,54.33443685451073,NA,A,A,NA,NA,E,A,A,E,D,A,E,C
DT,Cleveland Bay,CB.Enclosed Coastal,NA,87.07546441945512,100,60.59387755102041,NA,NA,61.789561271549566,69.94518599919347,100,50.17275522827025,5.381341422153103,80.9,39.956541069123716,69.31066849619295,A,A,C,NA,NA,B,B,A,C,E,B,D,B
DT,Cleveland Bay,CB.Open Coastal,NA,NA,100,96.7055356863225,NA,NA,39.851822166982075,90.51192655710247,100,24.462115360103898,51.043276642551845,98.35276784316126,38.62636305654594,68.4895654498536,NA,A,A,NA,NA,D,A,A,D,C,A,D,B
DT,Cleveland Bay,Magnetic Island,NA,85.62708064200194,NA,11.399424429315763,6.899200230894225,40.86001015859399,87.18309534969522,NA,NA,100,99.27949573654534,19.719544939601327,95.48753036208018,66.94471864789449,A,NA,E,E,D,A,NA,NA,A,A,E,A,B
DT,Halifax Bay,HB.Enclosed Coastal,NA,100,100,67.49491332388168,NA,NA,NA,100,100,88.90151707977961,82.21086882778934,83.90670921163667,85.55619295378447,89.82096738847372,A,A,B,NA,NA,NA,A,A,A,A,A,A,A
DT,Halifax Bay,HB.Open Coastal,NA,61.13517651686066,NA,92.99942367646943,37.348292990621594,65.35272741760141,10.501678792184086,NA,NA,81.93883508620594,83.96267843719525,67.89763315109568,64.53947475543636,64.52409480779757,B,NA,A,D,B,E,NA,NA,A,A,B,B,B
DT,Halifax Bay,Midshelf,NA,43.019343311423015,NA,69.9881019509528,33.697323628144105,73.6387615395095,40.814152795889555,NA,NA,100,100,61.90292970838955,82.66242946019241,62.52823416000166,C,NA,B,D,B,D,NA,NA,A,A,B,A,B
DT,Cleveland Bay,NA,NA,86.35127253072852,100,68.84238840618843,6.899200230894225,40.86001015859399,60.712720755781596,80.60689997372704,100,54.387073235349654,46.83947008717429,78.7543245266362,54.31013232660483,73.13857646132318,A,A,B,E,D,C,B,A,C,C,B,C,B
DT,Halifax Bay,NA,NA,70.02966417276556,100,77.11898505112647,35.52280830938285,69.49574447855545,25.647279650630004,100,100,90.28011738866185,88.72451575499487,71.38369358197195,77.88830279741501,73.10055351738417,B,A,B,D,B,D,A,A,A,A,B,B,B
