Region,Zone,Sub_Zone,Geographic_Area,FRP,NOX,Secchi,TN,TP,TSS,Turbidity,Chla,PN,PP,Nutrients,Phys_Chem,overall_wq,FRP_Grade,NOX_Grade,Secchi_Grade,TN_Grade,TP_Grade,TSS_Grade,Turbidity_Grade,Chla_Grade,PN_Grade,PP_Grade,Nutrients_Grade,Phys_Chem_Grade,overall_wq_Grade
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Inside Port Zone,100,100,60,90,100,85,10,NA,NA,NA,100,57,78,A,A,C,A,A,A,E,NA,NA,NA,A,C,B
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Outside Port Zone,100,0,63,42,100,0,0,87,NA,NA,60,22,56,A,E,B,C,A,E,E,A,NA,NA,C,D,C
DT,Cleveland Bay,CB.Open Coastal,OC.Inside Port Zone,100,100,72,100,100,44,66,NA,NA,NA,100,62,81,A,A,B,A,A,C,B,NA,NA,NA,A,B,A
DT,Cleveland Bay,CB.Open Coastal,OC.Outside Port Zone,100,NA,0,81,100,3,37,NA,NA,NA,100,13,56,A,NA,E,A,A,E,D,NA,NA,NA,A,E,C
DT,Cleveland Bay,Magnetic Island,Magnetic Island,NA,11,87,NA,NA,100,99,85,6,40,19,95,67,NA,E,A,NA,NA,A,A,A,E,D,E,A,B
DT,Halifax Bay,HB.Enclosed Coastal,H.Enclosed Coastal,100,67,NA,100,100,88,82,100,NA,NA,83,85,89,A,B,NA,A,A,A,A,A,NA,NA,A,A,A
DT,Halifax Bay,HB.Open Coastal,H.Open Coastal,NA,92,10,NA,NA,81,83,61,37,65,67,64,64,NA,A,E,NA,NA,A,A,B,D,B,B,B,B
DT,Halifax Bay,Midshelf,Midshelf,NA,69,40,NA,NA,100,100,43,33,73,61,82,62,NA,B,D,NA,NA,A,A,C,D,B,B,A,B
DT,Cleveland Bay,CB.Enclosed Coastal,NA,100,60,61,69,100,50,5,87,NA,NA,80,39,69,A,C,B,B,A,C,E,A,NA,NA,B,D,B
DT,Cleveland Bay,CB.Open Coastal,NA,100,100,39,90,100,24,53,NA,NA,NA,100,39,69,A,A,D,A,A,D,C,NA,NA,NA,A,D,B
DT,Cleveland Bay,Magnetic Island,NA,NA,11,87,NA,NA,100,99,85,6,40,19,95,67,NA,E,A,NA,NA,A,A,A,E,D,E,A,B
DT,Halifax Bay,HB.Enclosed Coastal,NA,100,67,NA,100,100,88,82,100,NA,NA,83,85,89,A,B,NA,A,A,A,A,A,NA,NA,A,A,A
DT,Halifax Bay,HB.Open Coastal,NA,NA,92,10,NA,NA,81,83,61,37,65,67,64,64,NA,A,E,NA,NA,A,A,B,D,B,B,B,B
DT,Halifax Bay,Midshelf,NA,NA,69,40,NA,NA,100,100,43,33,73,61,82,62,NA,B,D,NA,NA,A,A,C,D,B,B,A,B
DT,Cleveland Bay,NA,NA,100,62,60,80,100,54,48,86,6,40,79,54,73,A,B,C,B,A,C,C,A,E,D,B,C,B
DT,Halifax Bay,NA,NA,100,77,25,100,100,90,88,70,35,69,71,77,73,A,B,D,A,A,A,A,B,D,B,B,B,B
