Region,Zone,Sub_Zone,Geographic_Area,FRP,NOX,Secchi,TN,TP,TSS,Turbidity,Chla,PN,PP,Nutrients,Phys_Chem,overall_wq,FRP_Grade,NOX_Grade,Secchi_Grade,TN_Grade,TP_Grade,TSS_Grade,Turbidity_Grade,Chla_Grade,PN_Grade,PP_Grade,Nutrients_Grade,Phys_Chem_Grade,overall_wq_Grade
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Inside Port Zone,100,100,60.52195343206954,90.65478797842428,100,85.84706220651894,10.762682844306202,NA,NA,NA,100,57.251889484230446,78.62594474211522,A,A,C,A,A,A,E,NA,NA,NA,A,C,B
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Outside Port Zone,100,0,63.63825499562515,42.96044831042221,100,0,0,87.07546441945512,NA,NA,60.59387755102041,22.139317654017,56.60288654149751,A,E,B,C,A,E,E,A,NA,NA,C,D,C
DT,Cleveland Bay,CB.Open Coastal,OC.Inside Port Zone,100,100,72.22074732013986,100,100,44.82522551585798,66.23802167685986,NA,NA,NA,100,62.716237397009806,81.35811869850491,A,A,B,A,A,C,B,NA,NA,NA,A,B,A
DT,Cleveland Bay,CB.Open Coastal,OC.Outside Port Zone,100,NA,0,81.02385311420494,100,3.677985043850363,37.57948446359759,NA,NA,NA,100,13.655445802504298,56.82772290125215,A,NA,E,A,A,E,D,NA,NA,NA,A,E,C
DT,Cleveland Bay,Magnetic Island,Magnetic Island,NA,11.399424429315763,87.18309534969522,NA,NA,100,99.82416533239933,85.62708064200194,6.899200230894225,40.86001015859399,19.719544939601327,95.66908689403152,67.00523749187826,NA,E,A,NA,NA,A,A,A,E,D,E,A,B
DT,Halifax Bay,HB.Enclosed Coastal,H.Enclosed Coastal,100,67.49491332388168,NA,100,100,88.90151707977961,82.21086882778934,100,NA,NA,83.90670921163667,85.55619295378447,89.82096738847372,A,B,NA,A,A,A,A,A,NA,NA,A,A,A
DT,Halifax Bay,HB.Open Coastal,H.Open Coastal,NA,92.99942367646943,10.501678792184086,NA,NA,81.93883508620594,83.96267843719525,61.13517651686066,37.348292990621594,65.35272741760141,67.89763315109568,64.53947475543636,64.52409480779757,NA,A,E,NA,NA,A,A,B,D,B,B,B,B
DT,Halifax Bay,Midshelf,Midshelf,NA,69.9881019509528,40.814152795889555,NA,NA,100,100,43.019343311423015,33.697323628144105,73.6387615395095,61.90292970838955,82.66242946019241,62.52823416000166,NA,B,D,NA,NA,A,A,C,D,B,B,A,B
DT,Cleveland Bay,CB.Enclosed Coastal,NA,100,60.59387755102041,61.789561271549566,69.94518599919347,100,50.17275522827025,5.381341422153103,87.07546441945512,NA,NA,80.9,39.956541069123716,69.31066849619295,A,C,B,B,A,C,E,A,NA,NA,B,D,B
DT,Cleveland Bay,CB.Open Coastal,NA,100,100,39.851822166982075,90.51192655710247,100,24.462115360103898,53.61104007814462,NA,NA,NA,100,39.48228420174353,69.74114210087177,A,A,D,A,A,D,C,NA,NA,NA,A,D,B
DT,Cleveland Bay,Magnetic Island,NA,NA,11.399424429315763,87.18309534969522,NA,NA,100,99.82416533239933,85.62708064200194,6.899200230894225,40.86001015859399,19.719544939601327,95.66908689403152,67.00523749187826,NA,E,A,NA,NA,A,A,A,E,D,E,A,B
DT,Halifax Bay,HB.Enclosed Coastal,NA,100,67.49491332388168,NA,100,100,88.90151707977961,82.21086882778934,100,NA,NA,83.90670921163667,85.55619295378447,89.82096738847372,A,B,NA,A,A,A,A,A,NA,NA,A,A,A
DT,Halifax Bay,HB.Open Coastal,NA,NA,92.99942367646943,10.501678792184086,NA,NA,81.93883508620594,83.96267843719525,61.13517651686066,37.348292990621594,65.35272741760141,67.89763315109568,64.53947475543636,64.52409480779757,NA,A,E,NA,NA,A,A,B,D,B,B,B,B
DT,Halifax Bay,Midshelf,NA,NA,69.9881019509528,40.814152795889555,NA,NA,100,100,43.019343311423015,33.697323628144105,73.6387615395095,61.90292970838955,82.66242946019241,62.52823416000166,NA,B,D,NA,NA,A,A,C,D,B,B,A,B
DT,Cleveland Bay,NA,NA,100,62.476713838705955,60.712720755781596,80.60689997372704,100,54.387073235349654,48.04128181763417,86.35127253072852,6.899200230894225,40.86001015859399,79.44442810392233,54.71073623675813,73.50214562380299,A,B,C,B,A,C,C,A,E,D,B,C,B
DT,Halifax Bay,NA,NA,100,77.11898505112647,25.647279650630004,100,100,90.28011738866185,88.72451575499487,70.02966417276556,35.52280830938285,69.49574447855545,71.38369358197195,77.88830279741501,73.10055351738417,A,B,D,A,A,A,A,B,D,B,B,B,B
