Region,Basin,LayerName,MonthlyMeanTemperature,LayerDate,Year,Month,Fyear,AnnualMeanTemperature,AnnualLtm,MonthlyLtm,MonthlyMeanTemperaturePercentileRank,AnnualMeanTemperaturePercentileRank,AnnualAnomaly,MonthlyAnomaly,AnnualPercentageOfLtm,MonthlyPercentageOfLtm
Burdekin,Burdekin,n3_tmean_temperature_7,16.6,1910-07-16,1910,Jul,1911,21.5,22.4,15.5,80,6.5,-0.9,1.1,96,107.1
Burdekin,Burdekin,n3_tmean_temperature_8,17.4,1910-08-16,1910,Aug,1911,21.5,22.4,17.2,60,6.5,-0.9,0.2,96,101.2
Burdekin,Burdekin,n3_tmean_temperature_9,21.3,1910-09-15,1910,Sep,1911,21.5,22.4,20.5,83.3,6.5,-0.9,0.8,96,103.9
Burdekin,Burdekin,n3_tmean_temperature_10,23.2,1910-10-16,1910,Oct,1911,21.5,22.4,23.9,23.3,6.5,-0.9,-0.7,96,97.1
Burdekin,Burdekin,n3_tmean_temperature_11,24.6,1910-11-15,1910,Nov,1911,21.5,22.4,26.1,10,6.5,-0.9,-1.5,96,94.3
Burdekin,Burdekin,n3_tmean_temperature_12,27.2,1910-12-16,1910,Dec,1911,21.5,22.4,27.4,40,6.5,-0.9,-0.2,96,99.3
Burdekin,Burdekin,n3_tmean_temperature_13,24.5,1911-01-16,1911,Jan,1911,21.5,22.4,27.5,0,6.5,-0.9,-3,96,89.1
Burdekin,Burdekin,n3_tmean_temperature_14,25,1911-02-14,1911,Feb,1911,21.5,22.4,26.7,3.3,6.5,-0.9,-1.7,96,93.6
Burdekin,Burdekin,n3_tmean_temperature_15,24.6,1911-03-16,1911,Mar,1911,21.5,22.4,25.3,40,6.5,-0.9,-0.7,96,97.2
Burdekin,Burdekin,n3_tmean_temperature_16,21.5,1911-04-15,1911,Apr,1911,21.5,22.4,22.6,13.3,6.5,-0.9,-1.1,96,95.1
Burdekin,Burdekin,n3_tmean_temperature_17,17.8,1911-05-16,1911,May,1911,21.5,22.4,19.1,13.3,6.5,-0.9,-1.3,96,93.2
Burdekin,Burdekin,n3_tmean_temperature_18,14.6,1911-06-15,1911,Jun,1911,21.5,22.4,16.6,0,6.5,-0.9,-2,96,88
Burdekin,Burdekin,n3_tmean_temperature_19,15.2,1911-07-16,1911,Jul,1912,22.9,22.4,15.5,36.7,80.9,0.5,-0.3,102.2,98.1
Burdekin,Burdekin,n3_tmean_temperature_20,17,1911-08-16,1911,Aug,1912,22.9,22.4,17.2,36.7,80.9,0.5,-0.2,102.2,98.8
Burdekin,Burdekin,n3_tmean_temperature_21,20.2,1911-09-15,1911,Sep,1912,22.9,22.4,20.5,36.7,80.9,0.5,-0.3,102.2,98.5
Burdekin,Burdekin,n3_tmean_temperature_22,24.3,1911-10-16,1911,Oct,1912,22.9,22.4,23.9,60,80.9,0.5,0.4,102.2,101.7
Burdekin,Burdekin,n3_tmean_temperature_23,26,1911-11-15,1911,Nov,1912,22.9,22.4,26.1,33.3,80.9,0.5,-0.1,102.2,99.6
Burdekin,Burdekin,n3_tmean_temperature_24,29,1911-12-16,1911,Dec,1912,22.9,22.4,27.4,100,80.9,0.5,1.6,102.2,105.8
Burdekin,Burdekin,n3_tmean_temperature_25,29.1,1912-01-16,1912,Jan,1912,22.9,22.4,27.5,93.3,80.9,0.5,1.6,102.2,105.8
Burdekin,Burdekin,n3_tmean_temperature_26,27.7,1912-02-15,1912,Feb,1912,22.9,22.4,26.7,83.3,80.9,0.5,1,102.2,103.7
Burdekin,Burdekin,n3_tmean_temperature_27,25.9,1912-03-16,1912,Mar,1912,22.9,22.4,25.3,60,80.9,0.5,0.6,102.2,102.4
Burdekin,Burdekin,n3_tmean_temperature_28,23.2,1912-04-15,1912,Apr,1912,22.9,22.4,22.6,63.3,80.9,0.5,0.6,102.2,102.7
Burdekin,Burdekin,n3_tmean_temperature_29,18.9,1912-05-16,1912,May,1912,22.9,22.4,19.1,30,80.9,0.5,-0.2,102.2,99
Burdekin,Burdekin,n3_tmean_temperature_30,17.9,1912-06-15,1912,Jun,1912,22.9,22.4,16.6,86.7,80.9,0.5,1.3,102.2,107.8
Burdekin,Burdekin,n3_tmean_temperature_31,15.5,1912-07-16,1912,Jul,1913,21.8,22.4,15.5,43.3,9.7,-0.6,0,97.3,100
Burdekin,Burdekin,n3_tmean_temperature_32,17.1,1912-08-16,1912,Aug,1913,21.8,22.4,17.2,40,9.7,-0.6,-0.1,97.3,99.4
Burdekin,Burdekin,n3_tmean_temperature_33,20.7,1912-09-15,1912,Sep,1913,21.8,22.4,20.5,56.7,9.7,-0.6,0.2,97.3,101
Burdekin,Burdekin,n3_tmean_temperature_34,24.3,1912-10-16,1912,Oct,1913,21.8,22.4,23.9,60,9.7,-0.6,0.4,97.3,101.7
Burdekin,Burdekin,n3_tmean_temperature_35,26.6,1912-11-15,1912,Nov,1913,21.8,22.4,26.1,70,9.7,-0.6,0.5,97.3,101.9
Burdekin,Burdekin,n3_tmean_temperature_36,27.3,1912-12-16,1912,Dec,1913,21.8,22.4,27.4,43.3,9.7,-0.6,-0.1,97.3,99.6
Burdekin,Burdekin,n3_tmean_temperature_37,26.3,1913-01-16,1913,Jan,1913,21.8,22.4,27.5,13.3,9.7,-0.6,-1.2,97.3,95.6
Burdekin,Burdekin,n3_tmean_temperature_38,25.4,1913-02-14,1913,Feb,1913,21.8,22.4,26.7,6.7,9.7,-0.6,-1.3,97.3,95.1
Burdekin,Burdekin,n3_tmean_temperature_39,24,1913-03-16,1913,Mar,1913,21.8,22.4,25.3,6.7,9.7,-0.6,-1.3,97.3,94.9
Burdekin,Burdekin,n3_tmean_temperature_40,21.9,1913-04-15,1913,Apr,1913,21.8,22.4,22.6,26.7,9.7,-0.6,-0.7,97.3,96.9
Burdekin,Burdekin,n3_tmean_temperature_41,16.8,1913-05-16,1913,May,1913,21.8,22.4,19.1,0,9.7,-0.6,-2.3,97.3,88
Burdekin,Burdekin,n3_tmean_temperature_42,15.1,1913-06-15,1913,Jun,1913,21.8,22.4,16.6,6.7,9.7,-0.6,-1.5,97.3,91
Burdekin,Burdekin,n3_tmean_temperature_43,15.2,1913-07-16,1913,Jul,1914,22.4,22.4,15.5,36.7,38.8,0,-0.3,100,98.1
Burdekin,Burdekin,n3_tmean_temperature_44,15.9,1913-08-16,1913,Aug,1914,22.4,22.4,17.2,10,38.8,0,-1.3,100,92.4
Burdekin,Burdekin,n3_tmean_temperature_45,19.8,1913-09-15,1913,Sep,1914,22.4,22.4,20.5,23.3,38.8,0,-0.7,100,96.6
Burdekin,Burdekin,n3_tmean_temperature_46,22.9,1913-10-16,1913,Oct,1914,22.4,22.4,23.9,16.7,38.8,0,-1,100,95.8
