Region,Basin,SubBasin,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
Burdekin,NA,NA,Conservation,1999,137677.3,6136.9,4.5,0,0,1999 to 1999
Burdekin,NA,NA,Conservation,2009,138172.3,7666,5.5,1529.1,24.9,2009 to 1999
Burdekin,NA,NA,Conservation,2016,137390.5,8475.8,6.2,809.7,10.6,2016 to 2009
Burdekin,NA,NA,Conservation,2021,134183.7,11427.4,8.5,2951.6,34.8,2021 to 2016
Dry Tropics,NA,NA,Conservation,1999,2934.1,835.1,28.5,0,0,1999 to 1999
Dry Tropics,NA,NA,Conservation,2009,2936.9,980.9,33.4,145.8,17.5,2009 to 1999
Dry Tropics,NA,NA,Conservation,2016,2934.5,1025.9,35,45,4.6,2016 to 2009
Dry Tropics,NA,NA,Conservation,2021,2902.1,1030.8,35.5,4.8,0.5,2021 to 2016
Mackay Whitsunday Isaac,NA,NA,Conservation,1999,13270.8,3050.9,23,0,0,1999 to 1999
Mackay Whitsunday Isaac,NA,NA,Conservation,2009,13222.8,3116.8,23.6,65.9,2.2,2009 to 1999
Mackay Whitsunday Isaac,NA,NA,Conservation,2016,13215.7,3224.1,24.4,107.3,3.4,2016 to 2009
Mackay Whitsunday Isaac,NA,NA,Conservation,2021,13114.9,2331,17.8,-893.1,-27.7,2021 to 2016
Wet Tropics,NA,NA,Conservation,1999,22793,7204.6,31.6,0,0,1999 to 1999
Wet Tropics,NA,NA,Conservation,2009,22721.2,9995.4,44,2790.8,38.7,2009 to 1999
Wet Tropics,NA,NA,Conservation,2015,22687.3,11054.9,48.7,1059.5,10.6,2015 to 2009
Wet Tropics,NA,NA,Conservation,2021,22153.6,10992.8,49.6,-62.1,-0.6,2021 to 2015
Burdekin,NA,NA,Dryland Agriculture,1999,137677.3,1223.1,0.9,0,0,1999 to 1999
Burdekin,NA,NA,Dryland Agriculture,2009,138172.3,1276.3,0.9,53.2,4.4,2009 to 1999
Burdekin,NA,NA,Dryland Agriculture,2016,137390.5,1346.2,1,69.9,5.5,2016 to 2009
Burdekin,NA,NA,Dryland Agriculture,2021,134183.7,1376,1,29.8,2.2,2021 to 2016
Dry Tropics,NA,NA,Dryland Agriculture,1999,2934.1,2.6,0.1,0,0,1999 to 1999
Dry Tropics,NA,NA,Dryland Agriculture,2009,2936.9,3.5,0.1,0.8,31.3,2009 to 1999
Dry Tropics,NA,NA,Dryland Agriculture,2016,2934.5,3.2,0.1,-0.3,-8.1,2016 to 2009
Dry Tropics,NA,NA,Dryland Agriculture,2021,2902.1,1.7,0.1,-1.4,-45.2,2021 to 2016
Mackay Whitsunday Isaac,NA,NA,Dryland Agriculture,1999,13270.8,4,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,NA,NA,Dryland Agriculture,2009,13222.8,66.8,0.5,62.7,1551.7,2009 to 1999
Mackay Whitsunday Isaac,NA,NA,Dryland Agriculture,2016,13215.7,9.6,0.1,-57.2,-85.7,2016 to 2009
Mackay Whitsunday Isaac,NA,NA,Dryland Agriculture,2021,13114.9,15.1,0.1,5.5,58.1,2021 to 2016
Wet Tropics,NA,NA,Dryland Agriculture,1999,22793,1917.6,8.4,0,0,1999 to 1999
Wet Tropics,NA,NA,Dryland Agriculture,2009,22721.2,1901.8,8.4,-15.8,-0.8,2009 to 1999
Wet Tropics,NA,NA,Dryland Agriculture,2015,22687.3,1816.5,8,-85.3,-4.5,2015 to 2009
Wet Tropics,NA,NA,Dryland Agriculture,2021,22153.6,1850.8,8.4,34.3,1.9,2021 to 2015
Burdekin,NA,NA,Forestry,1999,137677.3,1223.3,0.9,0,0,1999 to 1999
Burdekin,NA,NA,Forestry,2009,138172.3,858,0.6,-365.3,-29.9,2009 to 1999
Burdekin,NA,NA,Forestry,2016,137390.5,787.8,0.6,-70.2,-8.2,2016 to 2009
Burdekin,NA,NA,Forestry,2021,134183.7,788.7,0.6,0.8,0.1,2021 to 2016
Dry Tropics,NA,NA,Forestry,1999,2934.1,251.7,8.6,0,0,1999 to 1999
Dry Tropics,NA,NA,Forestry,2009,2936.9,123.1,4.2,-128.7,-51.1,2009 to 1999
Dry Tropics,NA,NA,Forestry,2016,2934.5,123,4.2,-0.1,-0.1,2016 to 2009
Dry Tropics,NA,NA,Forestry,2021,2902.1,123,4.2,-0,-0,2021 to 2016
Mackay Whitsunday Isaac,NA,NA,Forestry,1999,13270.8,936.3,7.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,NA,NA,Forestry,2009,13222.8,859,6.5,-77.3,-8.3,2009 to 1999
Mackay Whitsunday Isaac,NA,NA,Forestry,2016,13215.7,736.8,5.6,-122.2,-14.2,2016 to 2009
Mackay Whitsunday Isaac,NA,NA,Forestry,2021,13114.9,730.1,5.6,-6.7,-0.9,2021 to 2016
Wet Tropics,NA,NA,Forestry,1999,22793,4388.7,19.3,0,0,1999 to 1999
Wet Tropics,NA,NA,Forestry,2009,22721.2,1675.2,7.4,-2713.5,-61.8,2009 to 1999
Wet Tropics,NA,NA,Forestry,2015,22687.3,589.7,2.6,-1085.5,-64.8,2015 to 2009
Wet Tropics,NA,NA,Forestry,2021,22153.6,646.3,2.9,56.6,9.6,2021 to 2015
Burdekin,NA,NA,Grazing,1999,137677.3,124779.6,90.6,0,0,1999 to 1999
Burdekin,NA,NA,Grazing,2009,138172.3,123954.1,89.7,-825.5,-0.7,2009 to 1999
Burdekin,NA,NA,Grazing,2016,137390.5,122322.4,89,-1631.7,-1.3,2016 to 2009
Burdekin,NA,NA,Grazing,2021,134183.7,116046.5,86.5,-6275.9,-5.1,2021 to 2016
Dry Tropics,NA,NA,Grazing,1999,2934.1,1398.9,47.7,0,0,1999 to 1999
Dry Tropics,NA,NA,Grazing,2009,2936.9,1350.3,46,-48.6,-3.5,2009 to 1999
Dry Tropics,NA,NA,Grazing,2016,2934.5,1289.9,44,-60.4,-4.5,2016 to 2009
Dry Tropics,NA,NA,Grazing,2021,2902.1,1252,43.1,-37.9,-2.9,2021 to 2016
Mackay Whitsunday Isaac,NA,NA,Grazing,1999,13270.8,6103,46,0,0,1999 to 1999
Mackay Whitsunday Isaac,NA,NA,Grazing,2009,13222.8,6023.5,45.6,-79.5,-1.3,2009 to 1999
Mackay Whitsunday Isaac,NA,NA,Grazing,2016,13215.7,6096.9,46.1,73.4,1.2,2016 to 2009
Mackay Whitsunday Isaac,NA,NA,Grazing,2021,13114.9,6847.3,52.2,750.4,12.3,2021 to 2016
Wet Tropics,NA,NA,Grazing,1999,22793,7355.8,32.3,0,0,1999 to 1999
Wet Tropics,NA,NA,Grazing,2009,22721.2,7229.1,31.8,-126.7,-1.7,2009 to 1999
Wet Tropics,NA,NA,Grazing,2015,22687.3,7319.8,32.3,90.7,1.3,2015 to 2009
Wet Tropics,NA,NA,Grazing,2021,22153.6,6678.9,30.1,-640.9,-8.8,2021 to 2015
Burdekin,NA,NA,Irrigated Agriculture,1999,137677.3,1016,0.7,0,0,1999 to 1999
Burdekin,NA,NA,Irrigated Agriculture,2009,138172.3,990.3,0.7,-25.7,-2.5,2009 to 1999
Burdekin,NA,NA,Irrigated Agriculture,2021,134183.7,1119.4,0.8,129.1,13,2021 to 2009
Burdekin,NA,NA,Irrigated Agriculture,2016,137390.5,983.5,0.7,-135.9,-12.1,2016 to 2021
Dry Tropics,NA,NA,Irrigated Agriculture,1999,2934.1,15.2,0.5,0,0,1999 to 1999
Dry Tropics,NA,NA,Irrigated Agriculture,2009,2936.9,14.6,0.5,-0.7,-4.4,2009 to 1999
