Region,Basin,LayerName,MonthlyMeanRainfall,LayerDate,Year,Month,Fyear,AnnualMeanRainfall,AnnualLtm,monthly_ltm,MonthlyMeanRainfallPercentileRank,AnnualMeanRainfallPercentileRank,annual_anomaly,monthly_anomaly,annual_percentage_of_ltm,monthly_percentage_of_ltm
Burdekin,Burdekin,n3_rainfall_955,5,1990-07-31,1990,Jul,1991,881,628,18,48,84,253,-13,140.3,27.8
Burdekin,Burdekin,n3_rainfall_956,0,1990-08-31,1990,Aug,1991,881,628,14,0,84,253,-14,140.3,0
Burdekin,Burdekin,n3_rainfall_957,1,1990-09-30,1990,Sep,1991,881,628,12,24,84,253,-11,140.3,8.3
Burdekin,Burdekin,n3_rainfall_958,11,1990-10-31,1990,Oct,1991,881,628,24,28,84,253,-13,140.3,45.8
Burdekin,Burdekin,n3_rainfall_959,7,1990-11-30,1990,Nov,1991,881,628,52,7,84,253,-45,140.3,13.5
Burdekin,Burdekin,n3_rainfall_960,159,1990-12-31,1990,Dec,1991,881,628,83,93,84,253,76,140.3,191.6
Burdekin,Burdekin,n3_rainfall_961,334,1991-01-31,1991,Jan,1991,881,628,138,100,84,253,196,140.3,242
Burdekin,Burdekin,n3_rainfall_962,325,1991-02-28,1991,Feb,1991,881,628,142,100,84,253,183,140.3,228.9
Burdekin,Burdekin,n3_rainfall_963,9,1991-03-31,1991,Mar,1991,881,628,70,3,84,253,-61,140.3,12.9
Burdekin,Burdekin,n3_rainfall_964,7,1991-04-30,1991,Apr,1991,881,628,29,28,84,253,-22,140.3,24.1
Burdekin,Burdekin,n3_rainfall_965,20,1991-05-31,1991,May,1991,881,628,22,66,84,253,-2,140.3,90.9
Burdekin,Burdekin,n3_rainfall_966,3,1991-06-30,1991,Jun,1991,881,628,23,14,84,253,-20,140.3,13
Burdekin,Burdekin,n3_rainfall_967,11,1991-07-31,1991,Jul,1992,388,628,18,69,7,-240,-7,61.8,61.1
Burdekin,Burdekin,n3_rainfall_968,1,1991-08-31,1991,Aug,1992,388,628,14,21,7,-240,-13,61.8,7.1
