Region,n3_sst_1,LayerName,MonthlyMeanSst,LayerDate,Year,Month,Fyear,AnnualMeanSst,AnnualLtm,MonthlyLtm,MonthlyMeanSstPercentileRank,AnnualMeanSstPercentileRank,AnnualAnomaly,MonthlyAnomaly,AnnualPercentageOfLtm,MonthlyPercentageOfLtm
Dry Tropics,28.64336395263672,n3_sst_67,22.9,1990-07-31T12:00:00Z,1990,Jul,1991,25.4,26.2,23.5,10,0,-0.8,-0.6,96.9,97.4
Dry Tropics,28.64336395263672,n3_sst_68,23.3,1990-08-31T12:00:00Z,1990,Aug,1991,25.4,26.2,23.5,40,0,-0.8,-0.2,96.9,99.1
Dry Tropics,28.64336395263672,n3_sst_69,23.5,1990-09-30T12:00:00Z,1990,Sep,1991,25.4,26.2,24.3,0,0,-0.8,-0.8,96.9,96.7
Dry Tropics,28.64336395263672,n3_sst_70,24.7,1990-10-31T12:00:00Z,1990,Oct,1991,25.4,26.2,25.5,3.3,0,-0.8,-0.8,96.9,96.9
Dry Tropics,28.64336395263672,n3_sst_71,26.6,1990-11-30T12:00:00Z,1990,Nov,1991,25.4,26.2,26.9,23.3,0,-0.8,-0.3,96.9,98.9
Dry Tropics,28.64336395263672,n3_sst_72,27.1,1990-12-31T12:00:00Z,1990,Dec,1991,25.4,26.2,28,6.7,0,-0.8,-0.9,96.9,96.8
Dry Tropics,28.64336395263672,n3_sst_73,28.1,1991-01-31T12:00:00Z,1991,Jan,1991,25.4,26.2,28.6,13.3,0,-0.8,-0.5,96.9,98.3
Dry Tropics,28.64336395263672,n3_sst_74,28.5,1991-02-28T12:00:00Z,1991,Feb,1991,25.4,26.2,28.9,23.3,0,-0.8,-0.4,96.9,98.6
Dry Tropics,28.64336395263672,n3_sst_75,26.4,1991-03-31T12:00:00Z,1991,Mar,1991,25.4,26.2,28.2,0,0,-0.8,-1.8,96.9,93.6
Dry Tropics,28.64336395263672,n3_sst_76,26,1991-04-30T12:00:00Z,1991,Apr,1991,25.4,26.2,27.2,3.3,0,-0.8,-1.2,96.9,95.6
Dry Tropics,28.64336395263672,n3_sst_77,24.2,1991-05-31T12:00:00Z,1991,May,1991,25.4,26.2,25.8,0,0,-0.8,-1.6,96.9,93.8
Dry Tropics,28.64336395263672,n3_sst_78,23.1,1991-06-30T12:00:00Z,1991,Jun,1991,25.4,26.2,24.4,0,0,-0.8,-1.3,96.9,94.7
Dry Tropics,28.64336395263672,n3_sst_79,23.1,1991-07-31T12:00:00Z,1991,Jul,1992,26,26.2,23.5,16.7,19.4,-0.2,-0.4,99.2,98.3
Dry Tropics,28.64336395263672,n3_sst_80,23.3,1991-08-31T12:00:00Z,1991,Aug,1992,26,26.2,23.5,40,19.4,-0.2,-0.2,99.2,99.1
Dry Tropics,28.64336395263672,n3_sst_81,24.2,1991-09-30T12:00:00Z,1991,Sep,1992,26,26.2,24.3,40,19.4,-0.2,-0.1,99.2,99.6
Dry Tropics,28.64336395263672,n3_sst_82,25.8,1991-10-31T12:00:00Z,1991,Oct,1992,26,26.2,25.5,73.3,19.4,-0.2,0.3,99.2,101.2
Dry Tropics,28.64336395263672,n3_sst_83,26.6,1991-11-30T12:00:00Z,1991,Nov,1992,26,26.2,26.9,23.3,19.4,-0.2,-0.3,99.2,98.9
Dry Tropics,28.64336395263672,n3_sst_84,27.7,1991-12-31T12:00:00Z,1991,Dec,1992,26,26.2,28,23.3,19.4,-0.2,-0.3,99.2,98.9
Dry Tropics,28.64336395263672,n3_sst_85,27.9,1992-01-31T12:00:00Z,1992,Jan,1992,26,26.2,28.6,0,19.4,-0.2,-0.7,99.2,97.6
Dry Tropics,28.64336395263672,n3_sst_86,28.3,1992-02-29T12:00:00Z,1992,Feb,1992,26,26.2,28.9,13.3,19.4,-0.2,-0.6,99.2,97.9
Dry Tropics,28.64336395263672,n3_sst_87,28.6,1992-03-31T12:00:00Z,1992,Mar,1992,26,26.2,28.2,80,19.4,-0.2,0.4,99.2,101.4
Dry Tropics,28.64336395263672,n3_sst_88,27.3,1992-04-30T12:00:00Z,1992,Apr,1992,26,26.2,27.2,56.7,19.4,-0.2,0.1,99.2,100.4
Dry Tropics,28.64336395263672,n3_sst_89,25.6,1992-05-31T12:00:00Z,1992,May,1992,26,26.2,25.8,33.3,19.4,-0.2,-0.2,99.2,99.2
Dry Tropics,28.64336395263672,n3_sst_90,23.9,1992-06-30T12:00:00Z,1992,Jun,1992,26,26.2,24.4,20,19.4,-0.2,-0.5,99.2,98
Dry Tropics,28.64336395263672,n3_sst_91,23.2,1992-07-31T12:00:00Z,1992,Jul,1993,25.8,26.2,23.5,26.7,9.7,-0.4,-0.3,98.5,98.7
Dry Tropics,28.64336395263672,n3_sst_92,23.1,1992-08-31T12:00:00Z,1992,Aug,1993,25.8,26.2,23.5,23.3,9.7,-0.4,-0.4,98.5,98.3
Dry Tropics,28.64336395263672,n3_sst_93,24.9,1992-09-30T12:00:00Z,1992,Sep,1993,25.8,26.2,24.3,83.3,9.7,-0.4,0.6,98.5,102.5
Dry Tropics,28.64336395263672,n3_sst_94,25.2,1992-10-31T12:00:00Z,1992,Oct,1993,25.8,26.2,25.5,16.7,9.7,-0.4,-0.3,98.5,98.8
Dry Tropics,28.64336395263672,n3_sst_95,26.3,1992-11-30T12:00:00Z,1992,Nov,1993,25.8,26.2,26.9,6.7,9.7,-0.4,-0.6,98.5,97.8
Dry Tropics,28.64336395263672,n3_sst_96,27.7,1992-12-31T12:00:00Z,1992,Dec,1993,25.8,26.2,28,23.3,9.7,-0.4,-0.3,98.5,98.9
Dry Tropics,28.64336395263672,n3_sst_97,27.9,1993-01-31T12:00:00Z,1993,Jan,1993,25.8,26.2,28.6,0,9.7,-0.4,-0.7,98.5,97.6
Dry Tropics,28.64336395263672,n3_sst_98,27.5,1993-02-28T12:00:00Z,1993,Feb,1993,25.8,26.2,28.9,0,9.7,-0.4,-1.4,98.5,95.2
Dry Tropics,28.64336395263672,n3_sst_99,28,1993-03-31T12:00:00Z,1993,Mar,1993,25.8,26.2,28.2,23.3,9.7,-0.4,-0.2,98.5,99.3
Dry Tropics,28.64336395263672,n3_sst_100,26.9,1993-04-30T12:00:00Z,1993,Apr,1993,25.8,26.2,27.2,20,9.7,-0.4,-0.3,98.5,98.9
Dry Tropics,28.64336395263672,n3_sst_101,25.1,1993-05-31T12:00:00Z,1993,May,1993,25.8,26.2,25.8,10,9.7,-0.4,-0.7,98.5,97.3
Dry Tropics,28.64336395263672,n3_sst_102,23.9,1993-06-30T12:00:00Z,1993,Jun,1993,25.8,26.2,24.4,20,9.7,-0.4,-0.5,98.5,98
Dry Tropics,28.64336395263672,n3_sst_103,23.6,1993-07-31T12:00:00Z,1993,Jul,1994,26.1,26.2,23.5,56.7,22.6,-0.1,0.1,99.6,100.4
Dry Tropics,28.64336395263672,n3_sst_104,24.3,1993-08-31T12:00:00Z,1993,Aug,1994,26.1,26.2,23.5,86.7,22.6,-0.1,0.8,99.6,103.4
Dry Tropics,28.64336395263672,n3_sst_105,24.3,1993-09-30T12:00:00Z,1993,Sep,1994,26.1,26.2,24.3,50,22.6,-0.1,0,99.6,100
Dry Tropics,28.64336395263672,n3_sst_106,25.3,1993-10-31T12:00:00Z,1993,Oct,1994,26.1,26.2,25.5,26.7,22.6,-0.1,-0.2,99.6,99.2
Dry Tropics,28.64336395263672,n3_sst_107,27.1,1993-11-30T12:00:00Z,1993,Nov,1994,26.1,26.2,26.9,66.7,22.6,-0.1,0.2,99.6,100.7
Dry Tropics,28.64336395263672,n3_sst_108,27.4,1993-12-31T12:00:00Z,1993,Dec,1994,26.1,26.2,28,16.7,22.6,-0.1,-0.6,99.6,97.9
Dry Tropics,28.64336395263672,n3_sst_109,29.2,1994-01-31T12:00:00Z,1994,Jan,1994,26.1,26.2,28.6,86.7,22.6,-0.1,0.6,99.6,102.1
Dry Tropics,28.64336395263672,n3_sst_110,28.8,1994-02-28T12:00:00Z,1994,Feb,1994,26.1,26.2,28.9,36.7,22.6,-0.1,-0.1,99.6,99.7
Dry Tropics,28.64336395263672,n3_sst_111,28.1,1994-03-31T12:00:00Z,1994,Mar,1994,26.1,26.2,28.2,33.3,22.6,-0.1,-0.1,99.6,99.6
Dry Tropics,28.64336395263672,n3_sst_112,26.8,1994-04-30T12:00:00Z,1994,Apr,1994,26.1,26.2,27.2,13.3,22.6,-0.1,-0.4,99.6,98.5
Dry Tropics,28.64336395263672,n3_sst_113,25.1,1994-05-31T12:00:00Z,1994,May,1994,26.1,26.2,25.8,10,22.6,-0.1,-0.7,99.6,97.3
Dry Tropics,28.64336395263672,n3_sst_114,23.6,1994-06-30T12:00:00Z,1994,Jun,1994,26.1,26.2,24.4,10,22.6,-0.1,-0.8,99.6,96.7
Dry Tropics,28.64336395263672,n3_sst_115,23.4,1994-07-31T12:00:00Z,1994,Jul,1995,26.1,26.2,23.5,43.3,22.6,-0.1,-0.1,99.6,99.6
Dry Tropics,28.64336395263672,n3_sst_116,22.7,1994-08-31T12:00:00Z,1994,Aug,1995,26.1,26.2,23.5,6.7,22.6,-0.1,-0.8,99.6,96.6
Dry Tropics,28.64336395263672,n3_sst_117,23.6,1994-09-30T12:00:00Z,1994,Sep,1995,26.1,26.2,24.3,3.3,22.6,-0.1,-0.7,99.6,97.1
Dry Tropics,28.64336395263672,n3_sst_118,25.2,1994-10-31T12:00:00Z,1994,Oct,1995,26.1,26.2,25.5,16.7,22.6,-0.1,-0.3,99.6,98.8
Dry Tropics,28.64336395263672,n3_sst_119,26.8,1994-11-30T12:00:00Z,1994,Nov,1995,26.1,26.2,26.9,40,22.6,-0.1,-0.1,99.6,99.6
Dry Tropics,28.64336395263672,n3_sst_120,27.2,1994-12-31T12:00:00Z,1994,Dec,1995,26.1,26.2,28,13.3,22.6,-0.1,-0.8,99.6,97.1
Dry Tropics,28.64336395263672,n3_sst_121,28.6,1995-01-31T12:00:00Z,1995,Jan,1995,26.1,26.2,28.6,40,22.6,-0.1,0,99.6,100
