"","region","basin","sub_basin","year","total_basin_area","vegetation","area","percent_coverage","y_on_y_area_change","y_on_y_percentage_change"
"1","Dry Tropics","Ross","Alligator Creek","pre_clear",360.60986,"Eucalypt Variations",161.27403,44.72258,0,0
"2","Dry Tropics","Ross","Alligator Creek","remnant_1997",360.60986,"Eucalypt Variations",147.51306,40.90655,-13.76097,-3.81603
"3","Dry Tropics","Ross","Alligator Creek","remnant_1999",360.60986,"Eucalypt Variations",146.83033,40.71723,-0.68273,-0.18933
"4","Dry Tropics","Ross","Alligator Creek","remnant_2000",360.60986,"Eucalypt Variations",146.64373,40.66548,-0.1866,-0.05175
"5","Dry Tropics","Ross","Alligator Creek","remnant_2001",360.60986,"Eucalypt Variations",146.64345,40.6654,-0.00028,-0.00008
"6","Dry Tropics","Ross","Alligator Creek","remnant_2003",360.60986,"Eucalypt Variations",146.55281,40.64027,-0.09064,-0.02514
"7","Dry Tropics","Ross","Alligator Creek","remnant_2005",360.60986,"Eucalypt Variations",146.54577,40.63832,-0.00704,-0.00195
"8","Dry Tropics","Ross","Alligator Creek","remnant_2006",360.60986,"Eucalypt Variations",146.44054,40.60913,-0.10524,-0.02918
"9","Dry Tropics","Ross","Alligator Creek","remnant_2006b",360.60986,"Eucalypt Variations",146.44054,40.60913,0,0
"10","Dry Tropics","Ross","Alligator Creek","remnant_2007",360.60986,"Eucalypt Variations",146.44054,40.60913,0,0
"11","Dry Tropics","Ross","Alligator Creek","remnant_2009",360.60986,"Eucalypt Variations",146.44054,40.60913,0,0
"12","Dry Tropics","Ross","Alligator Creek","remnant_2011",360.60986,"Eucalypt Variations",146.44054,40.60913,0,0
"13","Dry Tropics","Ross","Alligator Creek","remnant_2013",360.60986,"Eucalypt Variations",146.34265,40.58199,-0.09789,-0.02715
"14","Dry Tropics","Ross","Alligator Creek","remnant_2015",360.60986,"Eucalypt Variations",146.34247,40.58194,-0.00018,-0.00005
"15","Dry Tropics","Ross","Alligator Creek","remnant_2017",360.60986,"Eucalypt Variations",146.13098,40.52329,-0.21149,-0.05865
"16","Dry Tropics","Ross","Alligator Creek","remnant_2019",360.60986,"Eucalypt Variations",145.70024,40.40384,-0.43075,-0.11945
"17","Dry Tropics","Ross","Alligator Creek","remnant_2021",360.60986,"Eucalypt Variations",144.93109,40.19055,-0.76914,-0.21329
"18","Dry Tropics","Ross","Alligator Creek","pre_clear",360.60986,"Mangroves and Saltmarshes",97.31535,26.98632,0,0
"19","Dry Tropics","Ross","Alligator Creek","remnant_1997",360.60986,"Mangroves and Saltmarshes",94.29008,26.14739,-3.02527,-0.83893
"20","Dry Tropics","Ross","Alligator Creek","remnant_1999",360.60986,"Mangroves and Saltmarshes",94.26092,26.13931,-0.02916,-0.00809
"21","Dry Tropics","Ross","Alligator Creek","remnant_2000",360.60986,"Mangroves and Saltmarshes",94.26092,26.13931,0,0
"22","Dry Tropics","Ross","Alligator Creek","remnant_2001",360.60986,"Mangroves and Saltmarshes",94.26092,26.13931,0,0
"23","Dry Tropics","Ross","Alligator Creek","remnant_2003",360.60986,"Mangroves and Saltmarshes",94.26092,26.13931,0,0
"24","Dry Tropics","Ross","Alligator Creek","remnant_2005",360.60986,"Mangroves and Saltmarshes",94.26092,26.13931,0,0
"25","Dry Tropics","Ross","Alligator Creek","remnant_2006",360.60986,"Mangroves and Saltmarshes",94.26092,26.13931,0,0
"26","Dry Tropics","Ross","Alligator Creek","remnant_2006b",360.60986,"Mangroves and Saltmarshes",94.26092,26.13931,0,0
"27","Dry Tropics","Ross","Alligator Creek","remnant_2007",360.60986,"Mangroves and Saltmarshes",94.26092,26.13931,0,0
"28","Dry Tropics","Ross","Alligator Creek","remnant_2009",360.60986,"Mangroves and Saltmarshes",94.26092,26.13931,0,0
"29","Dry Tropics","Ross","Alligator Creek","remnant_2011",360.60986,"Mangroves and Saltmarshes",94.26092,26.13931,0,0
"30","Dry Tropics","Ross","Alligator Creek","remnant_2013",360.60986,"Mangroves and Saltmarshes",94.26092,26.13931,0,0
"31","Dry Tropics","Ross","Alligator Creek","remnant_2015",360.60986,"Mangroves and Saltmarshes",94.26092,26.13931,0,0
