"region","basin","sub_basin","year","vegetation","area","y_on_y_veg_area_change","y_on_y_veg_percent_change","standardised_score"
"Dry Tropics","Ross","Alligator Creek","QLD_WETLAND_AREAS_2001_v6","Wetlands",528.1,0,0,80
"Dry Tropics","Ross","Alligator Creek","QLD_WETLAND_AREAS_2005_v6","Wetlands",527.4,-0.8,-0.14,59
"Dry Tropics","Ross","Alligator Creek","QLD_WETLAND_AREAS_2009_v6","Wetlands",527.4,0,0,80
"Dry Tropics","Ross","Alligator Creek","QLD_WETLAND_AREAS_2013_v6","Wetlands",526.5,-0.9,-0.17,57
"Dry Tropics","Ross","Alligator Creek","QLD_WETLAND_AREAS_2017_v6","Wetlands",526.5,0,0,80
"Dry Tropics","Ross","Alligator Creek","QLD_WETLAND_AREAS_2019_v6","Wetlands",526.5,0,0,80
"Wet Tropics","Barron","Barron","QLD_WETLAND_AREAS_2001_v6","Wetlands",282.3,0,0,80
"Wet Tropics","Barron","Barron","QLD_WETLAND_AREAS_2005_v6","Wetlands",281.8,-0.6,-0.2,56
"Wet Tropics","Barron","Barron","QLD_WETLAND_AREAS_2009_v6","Wetlands",281.9,0.1,0.04,81
"Wet Tropics","Barron","Barron","QLD_WETLAND_AREAS_2013_v6","Wetlands",279,-2.9,-1.02,36
"Wet Tropics","Barron","Barron","QLD_WETLAND_AREAS_2017_v6","Wetlands",279,0,0,81
"Wet Tropics","Barron","Barron","QLD_WETLAND_AREAS_2019_v6","Wetlands",279,0,0,80
"Burdekin","Burdekin","Belyando","QLD_WETLAND_AREAS_2001_v6","Wetlands",7495,0,0,80
"Burdekin","Burdekin","Belyando","QLD_WETLAND_AREAS_2005_v6","Wetlands",7475.2,-19.7,-0.26,53
"Burdekin","Burdekin","Belyando","QLD_WETLAND_AREAS_2009_v6","Wetlands",7472.8,-2.4,-0.03,74
"Burdekin","Burdekin","Belyando","QLD_WETLAND_AREAS_2013_v6","Wetlands",7472.6,-0.2,0,80
"Burdekin","Burdekin","Belyando","QLD_WETLAND_AREAS_2017_v6","Wetlands",7454.3,-18.4,-0.25,53
"Burdekin","Burdekin","Belyando","QLD_WETLAND_AREAS_2019_v6","Wetlands",7454.3,0,0,81
"Dry Tropics","Black","Black","QLD_WETLAND_AREAS_2001_v6","Wetlands",447.3,0,0,80
"Dry Tropics","Black","Black","QLD_WETLAND_AREAS_2005_v6","Wetlands",446.6,-0.7,-0.15,58
"Dry Tropics","Black","Black","QLD_WETLAND_AREAS_2009_v6","Wetlands",439.7,-7,-1.56,32
"Dry Tropics","Black","Black","QLD_WETLAND_AREAS_2013_v6","Wetlands",437.3,-2.4,-0.54,40
"Dry Tropics","Black","Black","QLD_WETLAND_AREAS_2017_v6","Wetlands",436.6,-0.7,-0.16,58
"Dry Tropics","Black","Black","QLD_WETLAND_AREAS_2019_v6","Wetlands",436.2,-0.4,-0.08,64
"Dry Tropics","Black","Black River","QLD_WETLAND_AREAS_2001_v6","Wetlands",33.5,0,0,80
"Dry Tropics","Black","Black River","QLD_WETLAND_AREAS_2005_v6","Wetlands",33.5,0,0,80
