"region","basin","sub_basin","year","total_surveyed_area","vegetation","area","veg_percent_of_total_area","y_on_y_veg_area_change","y_on_y_veg_percent_change","standardised_score"
"Dry Tropics","Ross","Alligator Creek","pre_clear",105.30812,"Mangroves",2406,22.84694,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_1997",105.30812,"Mangroves",2441.9,23.1879,35.9,1.49,81
"Dry Tropics","Ross","Alligator Creek","remnant_1999",105.30812,"Mangroves",2442,23.18894,0.1,0,81
"Dry Tropics","Ross","Alligator Creek","remnant_2000",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2001",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2003",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2005",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2006",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2006b",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2007",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2009",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2011",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2013",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2015",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2017",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2019",105.30812,"Mangroves",2442,23.18894,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2021",105.30812,"Mangroves",2441.4,23.18305,-0.6,-0.03,75
"Dry Tropics","Ross","Alligator Creek","pre_clear",105.30812,"Mangroves and Saltmarshes Combined",8491.5,80.63513,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_1997",105.30812,"Mangroves and Saltmarshes Combined",8439.4,80.13981,-52.2,-0.61,40
"Dry Tropics","Ross","Alligator Creek","remnant_1999",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0.8,0.01,81
"Dry Tropics","Ross","Alligator Creek","remnant_2000",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2001",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2003",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2005",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2006",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2006b",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2007",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2009",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2011",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2013",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2015",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2017",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2019",105.30812,"Mangroves and Saltmarshes Combined",8440.2,80.14731,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2021",105.30812,"Mangroves and Saltmarshes Combined",8450.1,80.24129,9.9,0.12,81
"Dry Tropics","Ross","Alligator Creek","pre_clear",105.30812,"Non-Remnant Vegetation",0,0,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_1997",105.30812,"Non-Remnant Vegetation",109.5,1.03972,109.5,100,99
"Dry Tropics","Ross","Alligator Creek","remnant_1999",105.30812,"Non-Remnant Vegetation",121.2,1.15057,11.7,10.66,83
"Dry Tropics","Ross","Alligator Creek","remnant_2000",105.30812,"Non-Remnant Vegetation",121.2,1.15057,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2001",105.30812,"Non-Remnant Vegetation",121.2,1.15057,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2003",105.30812,"Non-Remnant Vegetation",121.2,1.15057,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2005",105.30812,"Non-Remnant Vegetation",121.2,1.15057,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2006",105.30812,"Non-Remnant Vegetation",121.2,1.15057,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2006b",105.30812,"Non-Remnant Vegetation",121.2,1.15057,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2007",105.30812,"Non-Remnant Vegetation",121.2,1.15057,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2009",105.30812,"Non-Remnant Vegetation",121.2,1.15057,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2011",105.30812,"Non-Remnant Vegetation",121.2,1.15057,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2013",105.30812,"Non-Remnant Vegetation",121.2,1.15057,0,0,80
