region,environment,basin,sub_basin,year,total_surveyed_area,vegetation,area,veg_percent_of_total_area,y_on_y_veg_area_change,y_on_y_veg_percent_change,standardised_score
Dry Tropics,Estuarine,Ross,Alligator Creek,pre_clear,28.98871,Non-Remnant Vegetation,0,0,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_1997,28.98871,Non-Remnant Vegetation,3.1,0.10537,3.1,100,99
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_1999,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0.08,81
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2000,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2001,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2003,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2005,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,-0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2006,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2006b,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2007,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2009,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2011,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2013,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2015,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2017,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2019,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2021,28.98871,Non-Remnant Vegetation,3.1,0.10545,0,-0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,pre_clear,28.98871,Remnant Vegetation,2324.7,80.19217,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_1997,28.98871,Remnant Vegetation,2320.2,80.03722,-4.5,-0.19,56
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_1999,28.98871,Remnant Vegetation,2320.2,80.03713,0,-0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2000,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2001,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2003,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2005,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2006,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2006b,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2007,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2009,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2011,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2013,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2015,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2017,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2019,28.98871,Remnant Vegetation,2320.2,80.03713,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2021,28.98871,Remnant Vegetation,2320.3,80.04278,0.2,0.01,81
Dry Tropics,Estuarine,Ross,Alligator Creek,pre_clear,28.98871,Water,574.2,19.80783,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_1997,28.98871,Water,575.6,19.85741,1.4,0.25,81
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_1999,28.98871,Water,575.6,19.85741,0,0,80
